PC1,PC2,PC3,PC4,PC5,PLAYER,TEAM,kCLUSTER
-1.7963735836754782,1.6888384556032774,-1.400482463197503,-1.1399842554093633,-0.8638455833965568,Stephen Curry,GSW,2
-0.9614252910222166,1.8908872036277302,-0.9590477301506172,-2.053900802624974,-1.0016278883799328,Bradley Beal,WAS,2
-2.0444733407008466,2.020989542032436,-0.32209825409232246,-2.096058843251305,0.5325673771977097,Damian Lillard,POR,2
1.4542584629897133,3.9649148915864125,-1.7418545251853874,0.9340115407020813,3.536844730438524,Joel Embiid,PHI,1
0.05745877552088843,2.931892870364852,0.8111770478462546,-0.7174730129784743,0.3059208604514188,Giannis Antetokounmpo,MIL,2
-1.5491148281107996,2.905345024048492,1.006958092393857,-1.9438892161945107,0.6673878221389814,Luka Doncic,DAL,2
-1.1875037091916136,1.602980438424374,-0.9057153979130927,-1.6541939346010908,-1.3886555722994096,Zach LaVine,CHI,2
0.6326368767236309,2.0092725415690262,-0.098218882530998,-1.240897067374194,-0.7012226986407714,Zion Williamson,NOP,2
-0.6638431371372083,2.2341692419823085,-1.257294296228791,-0.37458800193722436,1.6307444051255249,Kevin Durant,BKN,1
-1.2881440623547955,1.7779960214045871,-0.2719919111673688,-0.7955885513334879,-0.039271848246885954,Kyrie Irving,BKN,2
-0.9937375407268686,1.8777692142788798,-0.7467298717367417,-1.04611833844681,0.24255002506825118,Jayson Tatum,BOS,2
-1.7482581205419214,1.5589541657844503,-0.05662464059630712,-1.1310590890102314,-0.022729519369724897,Donovan Mitchell,UTA,2
0.6501203365107836,3.5738198104065098,-0.07370477695164895,2.973424089347969,2.0857468077297043,Nikola Jokic,DEN,1
-1.1580578475333236,1.7173892483017001,-0.5390964773775613,-1.0898822773526882,-0.16724688111604513,Devin Booker,PHX,2
-2.5110687028192022,1.809442844050396,1.65303268762411,-1.83826434224855,-0.41478866206125803,Trae Young,ATL,2
-1.8779153319499584,1.5179174920731398,1.098491503904587,-1.832805204799866,-1.3966441348484844,De'Aaron Fox,SAC,2
-0.8664223391435897,2.366129792142785,0.2062854474328544,0.3943815866425207,1.3562652603659198,LeBron James,LAL,1
-0.9646856075632235,2.277505695497936,-0.2924083397115641,0.4541006175710925,1.4476410358252125,Kawhi Leonard,LAC,1
1.0047508676870918,2.7837677621068657,-1.44166434543387,1.1377740211241774,1.2455523556229504,Karl-Anthony Towns,MIN,1
-0.573945463160419,1.2713796904782864,-1.1950497387660743,-0.3702259886285393,-0.7684419181987483,Jaylen Brown,BOS,2
-1.9774539392988972,2.616983571475484,1.742217085419143,-0.5689357952641942,0.34819065411967737,James Harden,BKN,2
-1.091744483758809,1.4177932634495773,-0.28197870657347623,-1.7260717191217816,-1.6974006702393647,Collin Sexton,CLE,2
-0.45929766266497973,2.638681683873516,-0.5231505904583074,1.4287000640725143,0.5026681399885905,Julius Randle,NYK,1
-1.1527014586009412,1.4761690736002127,-0.8042952789528764,-1.0157272173805485,0.20491729291753183,Brandon Ingram,NOP,2
-1.7703283019803058,1.8578668122752102,1.2056930241750856,-2.3458843255744544,-0.44277756367293225,Shai Gilgeous-Alexander,OKC,2
0.5518523604543821,2.2777662800129574,-1.7728885493602273,2.8134077175097425,2.3416756034954274,Nikola Vucevic,CHI,1
-1.1246627313000443,1.700834954892083,-0.44081753007859265,0.277129394916569,-0.033496396598764897,Paul George,LAC,2
-1.4809212068351663,0.911345464982956,-0.849642035695186,-0.9546803328063006,0.7688115834884243,CJ McCollum,POR,2
-0.3155349928770499,1.2161356820432625,-1.3143899955928489,-0.9941771810588949,-0.22236265421121132,Jerami Grant,DET,2
-1.4783534408619696,2.6788228348313243,2.28095833267144,0.5795971911274387,0.029423705452449964,Russell Westbrook,WAS,2
1.0892162526137101,2.341212019928041,-0.48723304737686585,1.3461022643123866,2.0285678158545197,Anthony Davis,LAL,1
-1.3826411413207225,1.7290483562165355,0.9415365435969991,-1.6197272782043994,0.7547903967866357,DeMar DeRozan,SAS,2
-0.7539111288737786,2.360083696475195,1.6589965524639094,0.447088451488385,-0.41918285522155035,Jimmy Butler,MIA,2
-0.2744333518224423,1.888464761041009,0.06284498868094565,0.13327704314077185,-0.07040583452738867,Pascal Siakam,TOR,2
-1.3441939181361222,1.05635811869982,-0.24993904298469993,-0.41459446072149975,-0.35109050654052104,Jamal Murray,DEN,2
-1.4616785561723595,1.111221751411933,-0.10682213456609076,-0.44491027794912513,-0.4888972492419054,Malcolm Brogdon,IND,2
1.1331527463520732,1.427141108297057,-1.225099483459253,-0.1259740933003931,-0.2418391997938461,Christian Wood,HOU,1
-1.3454177775719551,1.2065322571290182,0.5757364325210876,-1.4472473153323262,0.2768086502470872,John Wall,HOU,2
-1.2146642710293036,0.5239691380207346,-0.8690657100265663,0.11003803622693177,-1.2140030328808717,Terry Rozier,CHA,2
-0.9832939808936672,1.2362112851216434,-0.47859660121300884,-0.19052876356451526,0.3609137204656005,Khris Middleton,MIL,2
1.0068393256536587,2.728918569931634,0.31823457494311796,2.501286022928955,-0.10359666962271107,Domantas Sabonis,IND,1
-1.1680902552298684,1.2130695266962914,0.28521821683709964,-1.4215005350116754,-1.0256425611100553,Caris LeVert,IND,2
1.1418077000848923,1.4831945528623898,-1.9017514881685427,0.7676445708758338,1.5887277447935868,Kristaps Porzingis,DAL,1
-1.15500608627314,0.8216779767129445,0.1919919937518182,-0.41994172210514874,-1.0439852648812276,Victor Oladipo,MIA,2
-0.5982931959660879,1.0700235425305562,-0.8607551613223869,-0.11976961778125074,-1.1336997158487436,Gordon Hayward,CHA,2
