PC1,PC2,PC3,PC4,PC5,Player,Team
-7.974679043445704,6.5547045225253004,-3.4635413852089805,-2.397999303800477,-1.5331899513866662,Stephen Curry,GSW
-4.268075521610789,7.338894293934415,-2.3718265605293434,-4.320456770695744,-1.777731857416682,Bradley Beal,WAS
-9.076073514514482,7.843846311756519,-0.7965830793805442,-4.409137777991964,0.945223274679922,Damian Lillard,POR
6.455920190514622,15.388591777433076,-4.3077906318219465,1.9647280334945632,6.277342738735639,Joel Embiid,PHI
0.2550779510300672,11.379236062027818,2.006126709742978,-1.5092311823203102,0.5429613789532601,Giannis Antetokounmpo,MIL
-6.877018047854978,11.276198801278687,2.4903139581015714,-4.089043304747913,1.184508345297163,Luka Doncic,DAL
-5.271710199795049,6.221473163640485,-2.2399300571967413,-3.479658499406155,-2.4646450827649633,Zach LaVine,CHI
2.8084781967214094,7.798370395647948,-0.2429056938552442,-2.610273159064658,-1.2445599258759334,Zion Williamson,NOP
-2.947012805115775,8.671237432994856,-3.109421890534231,-0.7879598017210455,2.8943146590942535,Kevin Durant,BKN
-5.718485036938495,6.900742059648077,-0.6726647891180435,-1.6735501241850432,-0.06970134971086275,Kyrie Irving,BKN
-4.411519971533641,7.287980872448738,-1.8467420209083059,-2.200548854411624,0.4304881199728421,Jayson Tatum,BOS
-7.7610790556682305,6.050598792900416,-0.1400387304244567,-2.3792248841452373,-0.040341319522048495,Donovan Mitchell,UTA
2.8860928875844656,13.870677089475791,-0.18227971571796284,6.254708222789928,3.701872311686054,Nikola Jokic,DEN
-5.140990566631601,6.6655156006370815,-1.333242656787371,-2.2926079284996055,-0.2968368912875116,Devin Booker,PHX
-11.147440122144587,7.022793182969937,4.08812482493893,-3.8668574517551697,-0.7361845922982528,Trae Young,ATL
-8.336669042096172,5.891327626453156,2.7166857744061845,-3.855373952979483,-2.478823523983714,De'Aaron Fox,SAC
-3.846326918593682,9.183401525458528,0.5101657486797702,0.8295963437327354,2.4071573769374406,LeBron James,LAL
-4.2825491134242295,8.83943448399558,-0.7231567781712546,0.9552175476316697,2.569334996904549,Kawhi Leonard,LAC
4.4604116656146715,10.804334233035922,-3.565388539453813,2.3933499937315337,2.21065939592869,Karl-Anthony Towns,MIN
-2.547928169696905,4.934467343146795,-2.95548451078017,-0.7787841444014283,-1.3638634610761982,Jaylen Brown,BOS
-8.778552875867106,10.157012942482574,4.3086872816603,-1.196777617302084,0.6179836099456841,James Harden,BKN
-4.846604255677839,5.502726376880836,-0.6973631913498678,-3.630856093953145,-3.012619038758588,Collin Sexton,CLE
-2.0389697769123387,10.241227459859156,-1.2938067904198605,3.00532375138402,0.8921568344222722,Julius Randle,NYK
-5.117211836552406,5.729294042681509,-1.9891073667722425,-2.1366200002956153,0.3636959433550658,Brandon Ingram,NOP
-7.859055676456439,7.210735849995736,2.9818064822845733,-4.934654976882928,-0.7858604875348089,Shai Gilgeous-Alexander,OKC
2.449849794042972,8.840445862255855,-4.384541058838165,5.918107829895068,4.156105643985639,Nikola Vucevic,CHI
-4.9927389245460665,6.601265226944313,-1.090188416402537,0.582951995099214,-0.05945083202365958,Paul George,LAC
-6.574284670218253,3.537105767036107,-2.1012546965598657,-2.00820560683922,1.364519558784401,CJ McCollum,POR
-1.4007611323374798,4.720054797808273,-3.250625599157162,-2.091288696945603,-0.39465871395651114,Jerami Grant,DET
-6.562885532710882,10.397022931503912,5.641051416743576,1.2192042602458688,0.052222446232671436,Russell Westbrook,WAS
4.835380625964606,9.086690893553305,-1.2049789041830192,2.831576205854006,3.600388600408909,Anthony Davis,LAL
-6.137987907691325,6.710766824710306,2.3285195424649427,-3.4071566050585735,1.3396341591587249,DeMar DeRozan,SAS
-3.346853535748911,9.159935473697042,4.1028740940167285,0.940467195331034,-0.7439835935634124,Jimmy Butler,MIA
-1.2182977524770575,7.329492331700515,0.15542230971781107,0.28035321992178835,-0.124959275235226,Pascal Siakam,TOR
-5.967308340926832,4.099927565644303,-0.6181257116069669,-0.8721148765450963,-0.623130391589992,Jamal Murray,DEN
-6.488860366289748,4.312863800171123,-0.2641824468699836,-0.9358853262342309,-0.8677156707232632,Malcolm Brogdon,IND
5.03042882698575,5.539007147664062,-3.0298007104433644,-0.264991193165875,-0.42922651698631714,Christian Wood,HOU
-5.972741445868784,4.682782071984036,1.4238571445275916,-3.0443385846129845,0.4912917877603076,John Wall,HOU
-5.39228465338508,2.033624274277526,-2.1492914993527825,0.2314691040789852,-2.154664313554107,Terry Rozier,CHA
-4.36515765664678,4.797972046704219,-1.1836200585739474,-0.4007843443571128,0.6405650502485865,Khris Middleton,MIL
4.469683001004176,10.591454044990096,0.7870277918392167,5.261548230274123,-0.1838677836820645,Domantas Sabonis,IND
-5.18552764518808,4.708154463437703,0.7053748431632376,-2.990179274086495,-1.8203541218854018,Caris LeVert,IND
5.068850945181167,5.7565612691826065,-4.703232747817429,1.6147689214053564,2.819741699933586,Kristaps Porzingis,DAL
-5.127442818664059,3.18908912344483,0.4748165246353596,-0.883363039854707,-1.8529095341532371,Victor Oladipo,MIA
-2.6560155721867096,4.152965684884402,-2.1287386326606836,-0.25193984802250924,-2.0121385646203915,Gordon Hayward,CHA
-8.157223419121882,3.6790870065082992,1.3103990020012826,2.1753379233701438,-3.1040252041070286,Fred VanVleet,TOR
-2.2443933582136824,0.35103707956639657,-5.057275536917814,-1.4020691499171656,-2.0738716700409996,Malik Beasley,MIN
-1.397623625541316,5.6557350766726895,-1.3632990575298574,0.918057456406925,0.9201912848252217,Tobias Harris,PHI
