PLAYER,TEAM,CLUSTER,PC1,PC2,PC3,PC4,PC5
Stephen Curry,GSW,8,-1.101113375322639,2.2203510646233156,-1.6016444945861092,-1.1210098919793272,-0.614256469425651
Bradley Beal,WAS,8,-0.3640951979658799,2.0813268093793136,-0.8411408655250918,-1.8709455219714592,-0.27089206676295846
Damian Lillard,POR,8,-1.3145911562848849,2.4688443397144257,-0.22181387234349767,-1.9974876627165064,0.5878937821777385
Joel Embiid,PHI,2,2.59319626764657,3.090429941226224,-1.2065642111448114,1.641014320062297,4.5426492896522
Giannis Antetokounmpo,MIL,2,1.4898875845707915,2.944500093677974,0.7492890897481496,-0.42291190632343745,0.9323760067151984
Luka Doncic,DAL,8,-0.7523333915800658,2.994857742634009,1.1408404287012062,-1.7852626343592775,1.094939575899112
Zach LaVine,CHI,8,-0.6002318853316211,1.9455213419368376,-1.0238790776803661,-1.827916173533551,-0.9673667052999876
Zion Williamson,NOP,2,1.7008527208417425,1.9679375811605977,-0.03337986778953586,-1.1808753034252155,0.007664193984000209
Kevin Durant,BKN,2,0.09347651671298154,2.308874697653522,-1.0942201053554796,0.14158708625977745,1.6982554984303413
Kyrie Irving,BKN,8,-0.701572469837238,2.0663159617094813,-0.3083517513030137,-1.0006519687844277,-0.45968160455846757
Jayson Tatum,BOS,8,-0.23014965544442217,2.154843791264064,-0.6471550738092082,-0.8670415450663347,0.8724447692231584
Donovan Mitchell,UTA,8,-1.2785462536328958,1.9167454069357515,0.24153405272779738,-0.5600081312872471,0.003979016884540394
Nikola Jokic,DEN,2,2.5327881483532697,3.5331430132732313,0.36488568928915877,3.582429901973465,2.15731691843791
Devin Booker,PHX,8,-0.441894683598955,2.0951610429682894,-0.38646234866402146,-0.8585194624158837,0.2602183183444263
Trae Young,ATL,8,-1.7676915631099437,2.4539280487987707,1.6158818861564619,-1.7551908538137022,-0.46716330091326563
De'Aaron Fox,SAC,8,-1.314084941163611,2.0046413390979843,0.9458131784148438,-2.1803284705621753,-0.9655018657453486
LeBron James,LAL,2,-0.10517819869947369,2.4055486323371107,0.21587284611751242,0.3624764814283817,1.112575952127849
Kawhi Leonard,LAC,2,0.06143113606373872,2.6042045732567707,-0.23312882423935083,0.6510186643049319,1.6417879559456137
Karl-Anthony Towns,MIN,2,1.9251501213587001,2.2458123527923757,-1.0340135949408547,1.6296369998250642,1.8278898978327411
Jaylen Brown,BOS,6,-0.2235255922993277,1.4200506851164207,-1.256556840203825,-0.44731710686873616,-0.4212848180563932
James Harden,BKN,8,-1.145354454688807,2.752575836037667,1.976432337221473,-0.4639077269358998,0.23756338742939087
Collin Sexton,CLE,8,-0.5487431279707286,1.7214128702321358,-0.23371596849504003,-2.0707390385029703,-1.0369677954727052
Julius Randle,NYK,2,0.39566581962466946,2.5729215808084094,-0.27197807889437947,1.2562840355137166,0.6171234734880607
Brandon Ingram,NOP,8,-0.6215947599356719,1.7936650708462472,-0.7497809792321304,-1.0210787867823734,0.428192760903244
Shai Gilgeous-Alexander,OKC,8,-1.195408429052474,2.152566033484131,1.4146674262037944,-1.9999256119931736,0.0025791543374582273
Nikola Vucevic,CHI,2,1.541265940890506,2.109502354088024,-1.3427378793267954,3.203966809743926,2.673052413903679
Paul George,LAC,8,-0.6065847407053025,1.8965716939383932,-0.46817282935853727,0.24754306542687432,-0.2464252096001929
CJ McCollum,POR,8,-1.2274023136630827,1.4078493879543954,-0.5938339150989197,-0.3776346071185021,0.3997969589334592
Jerami Grant,DET,3,-0.06121151897299976,1.1402183756380548,-1.1555745759001366,-0.8533496427835477,0.3757068459839028
Russell Westbrook,WAS,8,-0.6393528955727684,2.8183091330345693,2.3242146673063977,0.06564013692759701,0.17436729312566854
Anthony Davis,LAL,2,1.9843995918850874,2.014881439321929,-0.3089698308835051,1.5997325741583515,2.4478192758615975
DeMar DeRozan,SAS,8,-0.7711999999115736,2.0174613666048877,1.1427511163722563,-1.608392077906455,0.9184286113785036
Jimmy Butler,MIA,8,0.11828629591595188,2.315944356498896,1.5158742397113447,-0.3672839770817129,-0.6145823677351767
Pascal Siakam,TOR,6,0.46167819816055566,1.938070230981014,0.045321259264220294,-0.09081594262445508,0.17578546605108344
Jamal Murray,DEN,8,-0.8143503454518894,1.6044900565011437,-0.37600825206884375,-0.5442210181555391,-0.4572347241594938
Malcolm Brogdon,IND,8,-0.9831117777790266,1.5872052299704231,-0.11610764487109149,-0.722822271971683,-0.6083849596964042
Christian Wood,HOU,3,1.6212187769333268,1.0678292713749378,-1.2681306351640216,-0.17346935843554231,0.17956091429133966
John Wall,HOU,8,-1.0601595885377721,1.4254082788797164,0.8226152789292853,-1.4029385843526587,0.6335782483821573
Terry Rozier,CHA,6,-0.9998635935011947,1.0283063796997753,-0.9487447513304523,0.00801153933677266,-1.0297338203022006
Khris Middleton,MIL,8,-0.48862341895818906,1.590043520090016,-0.4740158269177399,-0.19209765693556385,0.36732299946868224
Domantas Sabonis,IND,2,2.292148648824269,2.480151998386933,0.5128496983653227,2.376343388225942,0.2935698604658527
Caris LeVert,IND,8,-0.8124431285883686,1.4643184195531163,0.37942125981565245,-1.3217899376632014,-0.5046670854442395
Kristaps Porzingis,DAL,5,1.518044305570003,1.051939314898812,-1.673199070698595,1.1979367523985143,1.8393034944427156
Victor Oladipo,MIA,6,-0.8910628954366498,1.1282797905594144,0.10109245285715336,-0.6387179735955193,-0.9232791249629347
Gordon Hayward,CHA,6,-0.20086725261983723,1.2971860768334362,-1.0680713927077186,-0.7740361501421672,-0.9240461033065245
