PLAYER,TEAM,hCLUSTER,PC1,PC2,PC3,PC4,PC5
Stephen Curry,GSW,7,-1.7963735836754793,1.6888384556032772,-1.4004824631975057,-1.1399842554093613,-0.8638455833965615
Bradley Beal,WAS,7,-0.9614252910222183,1.8908872036277302,-0.9590477301506212,-2.0539008026249705,-1.0016278883799346
Damian Lillard,POR,7,-2.0444733407008484,2.020989542032436,-0.32209825409232457,-2.096058843251306,0.532567377197703
Joel Embiid,PHI,1,1.4542584629897095,3.9649148915864134,-1.741854525185385,0.9340115407020889,3.536844730438532
Giannis Antetokounmpo,MIL,1,0.057458775520886185,2.931892870364853,0.8111770478462527,-0.7174730129784741,0.3059208604514162
Luka Doncic,DAL,7,-1.5491148281108025,2.9053450240484913,1.0069580923938557,-1.9438892161945145,0.6673878221389729
Zach LaVine,CHI,7,-1.187503709191615,1.6029804384243733,-0.9057153979130971,-1.6541939346010883,-1.3886555722994134
Zion Williamson,NOP,1,0.6326368767236296,2.0092725415690267,-0.09821888253100215,-1.2408970673741901,-0.7012226986407687
Kevin Durant,BKN,1,-0.6638431371372102,2.2341692419823085,-1.2572942962287905,-0.3745880019372214,1.6307444051255244
Kyrie Irving,BKN,7,-1.2881440623547968,1.777996021404587,-0.27199191116737004,-0.795588551333489,-0.03927184824689001
Jayson Tatum,BOS,7,-0.9937375407268701,1.8777692142788804,-0.7467298717367433,-1.0461183384468087,0.24255002506824844
Donovan Mitchell,UTA,7,-1.7482581205419225,1.5589541657844497,-0.05662464059630877,-1.1310590890102326,-0.022729519369730156
Nikola Jokic,DEN,1,0.6501203365107806,3.5738198104065093,-0.07370477695164554,2.9734240893479713,2.085746807729704
Devin Booker,PHX,7,-1.158057847533325,1.7173892483017004,-0.5390964773775634,-1.0898822773526866,-0.16724688111604638
Trae Young,ATL,7,-2.511068702819205,1.8094428440503956,1.6530326876241066,-1.8382643422485538,-0.41478866206126547
De'Aaron Fox,SAC,7,-1.8779153319499597,1.5179174920731395,1.098491503904582,-1.8328052047998686,-1.3966441348484895
LeBron James,LAL,1,-0.8664223391435911,2.366129792142785,0.206285447432856,0.39438158664251993,1.3562652603659155
Kawhi Leonard,LAC,1,-0.9646856075632253,2.2775056954979354,-0.2924083397115632,0.45410061757109377,1.4476410358252134
Karl-Anthony Towns,MIN,1,1.0047508676870893,2.783767762106866,-1.4416643454338698,1.137774021124183,1.245552355622953
Jaylen Brown,BOS,4,-0.5739454631604194,1.2713796904782864,-1.1950497387660766,-0.37022598862853656,-0.7684419181987485
James Harden,BKN,7,-1.9774539392988997,2.6169835714754845,1.7422170854191434,-0.5689357952641998,0.348190654119667
Collin Sexton,CLE,7,-1.0917444837588102,1.4177932634495767,-0.2819787065734812,-1.72607171912178,-1.6974006702393674
Julius Randle,NYK,1,-0.45929766266498184,2.6386816838735156,-0.5231505904583059,1.4287000640725172,0.5026681399885908
Brandon Ingram,NOP,7,-1.1527014586009419,1.4761690736002124,-0.8042952789528776,-1.0157272173805467,0.20491729291753064
Shai Gilgeous-Alexander,OKC,7,-1.7703283019803069,1.8578668122752098,1.2056930241750814,-2.345884325574459,-0.4427775636729394
Nikola Vucevic,CHI,1,0.5518523604543804,2.277766280012958,-1.7728885493602233,2.8134077175097465,2.341675603495428
Paul George,LAC,1,-1.1246627313000455,1.7008349548920831,-0.4408175300785925,0.277129394916569,-0.033496396598766486
CJ McCollum,POR,7,-1.4809212068351671,0.9113454649829558,-0.8496420356951865,-0.954680332806302,0.7688115834884207
Jerami Grant,DET,4,-0.3155349928770509,1.2161356820432625,-1.3143899955928502,-0.9941771810588911,-0.22236265421121
Russell Westbrook,WAS,3,-1.478353440861972,2.6788228348313234,2.2809583326714415,0.5795971911274368,0.02942370545244213
Anthony Davis,LAL,1,1.0892162526137081,2.3412120199280437,-0.4872330473768635,1.3461022643123899,2.028567815854522
DeMar DeRozan,SAS,7,-1.3826411413207236,1.7290483562165344,0.9415365435969968,-1.6197272782044,0.7547903967866338
Jimmy Butler,MIA,3,-0.7539111288737803,2.3600836964751943,1.6589965524639088,0.447088451488384,-0.4191828552215507
Pascal Siakam,TOR,1,-0.2744333518224436,1.8884647610410088,0.06284498868094472,0.13327704314077357,-0.07040583452738843
Jamal Murray,DEN,3,-1.344193918136124,1.0563581186998199,-0.249939042984701,-0.4145944607214999,-0.35109050654052304
Malcolm Brogdon,IND,3,-1.4616785561723604,1.1112217514119325,-0.1068221345660922,-0.4449102779491254,-0.48889724924190925
Christian Wood,HOU,4,1.1331527463520725,1.4271411082970575,-1.2250994834592532,-0.12597409330039006,-0.24183919979384588
John Wall,HOU,7,-1.3454177775719562,1.2065322571290182,0.5757364325210863,-1.4472473153323286,0.27680865024708357
Terry Rozier,CHA,4,-1.214664271029304,0.5239691380207342,-0.8690657100265681,0.11003803622693363,-1.2140030328808733
Khris Middleton,MIL,1,-0.9832939808936679,1.236211285121643,-0.4785966012130093,-0.19052876356451456,0.3609137204655988
Domantas Sabonis,IND,1,1.0068393256536572,2.7289185699316345,0.3182345749431192,2.5012860229289586,-0.10359666962270968
Caris LeVert,IND,7,-1.1680902552298698,1.213069526696291,0.2852182168370969,-1.4215005350116756,-1.0256425611100586
Kristaps Porzingis,DAL,5,1.1418077000848914,1.4831945528623904,-1.901751488168541,0.7676445708758382,1.5887277447935881
Victor Oladipo,MIA,3,-1.1550060862731404,0.8216779767129444,0.19199199375181616,-0.4199417221051488,-1.0439852648812293
Gordon Hayward,CHA,4,-0.598293195966088,1.0700235425305562,-0.8607551613223884,-0.1197696177812477,-1.1336997158487432
