,Player,TEAM,AGE,W,DEF RTG,DREB%,%DREB,STL,STL%,%BLK,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT,DEFWS
104,Elfrid Payton,NYK,27,36,110.8,9.8,13.9,0.7,22.5,6.0,8.0,5.4,6.1,22.9,0.068
105,Grant Williams,BOS,22,30,109.3,11.3,16.4,0.5,16.1,17.4,5.3,5.1,4.0,16.2,0.061
106,Ja Morant,MEM,21,33,112.1,9.1,12.9,0.9,15.6,6.5,11.0,8.8,9.3,33.0,0.082
107,Jaden McDaniels,MIN,20,18,113.1,11.8,17.5,0.6,11.9,33.9,8.2,7.5,7.0,23.6,0.053
108,Jarrett Allen,CLE,23,20,113.9,23.2,34.0,0.5,11.5,50.8,11.2,8.3,7.9,33.0,0.059
109,John Collins,ATL,23,34,111.7,18.3,25.8,0.5,13.0,31.3,9.6,8.2,7.3,30.7,0.077
110,Luke Kennard,LAC,25,44,114.4,11.8,17.0,0.4,14.9,8.3,6.9,5.1,5.3,20.8,0.036
111,Rudy Gay,SAS,34,29,103.9,17.6,25.7,0.7,23.2,24.4,5.8,6.0,4.4,20.4,0.107
112,Shake Milton,PHI,24,46,105.0,7.6,11.1,0.6,14.7,9.0,8.8,5.7,6.9,22.3,0.107
113,Stephen Curry,GSW,33,37,109.6,13.5,19.9,1.2,20.9,3.8,13.0,10.2,10.1,32.5,0.112
114,Trae Young,ATL,22,36,113.0,9.4,13.3,0.8,18.1,5.2,10.9,9.6,8.6,35.8,0.076
115,Denzel Valentine,CHI,27,26,106.7,16.8,22.9,0.5,21.0,8.5,5.9,3.4,3.5,16.2,0.068
116,Devin Vassell,SAS,20,30,108.9,13.8,19.8,0.7,26.7,15.8,4.9,4.1,3.9,17.0,0.06
117,Domantas Sabonis,IND,25,29,111.5,25.9,38.2,1.2,19.2,13.3,12.3,10.4,10.3,39.6,0.096
118,Jonas Valanciunas,MEM,29,32,108.9,28.9,39.2,0.6,12.0,35.0,10.2,6.2,8.4,28.5,0.098
119,Josh Jackson,DET,24,16,108.3,12.3,18.1,0.9,20.2,25.7,10.2,6.7,6.1,26.4,0.093
121,Tobias Harris,PHI,28,44,106.1,17.0,23.7,0.9,14.7,21.2,11.5,7.5,9.5,30.7,0.138
122,Trey Burke,DAL,28,35,110.2,4.7,7.1,0.6,29.3,9.1,4.7,4.6,3.4,14.6,0.046
123,Brad Wanamaker,CHA,31,29,107.1,8.0,11.9,0.7,24.7,10.6,5.9,5.0,4.1,16.7,0.069
124,Brandon Ingram,NOP,23,29,114.2,12.6,17.3,0.7,13.7,19.8,12.9,8.8,9.1,33.1,0.064
125,DeMar DeRozan,SAS,31,27,115.5,10.6,15.2,0.9,20.1,7.8,9.7,9.2,8.9,37.0,0.05
126,Dennis Schroder,LAL,27,38,108.6,9.3,13.1,1.1,22.8,6.2,10.8,7.5,8.3,33.6,0.114
127,Giannis Antetokounmpo,MIL,26,40,107.3,26.4,35.7,1.2,21.8,34.6,10.7,8.1,7.0,29.1,0.13
128,Isaiah Roby,OKC,23,19,113.6,16.9,24.4,0.9,24.6,26.8,10.9,7.0,6.0,24.3,0.049
129,Kevon Looney,GSW,25,34,106.1,16.5,24.4,0.3,10.7,20.8,7.1,5.8,4.9,17.7,0.081
130,Landry Shamet,BKN,24,39,112.4,6.7,10.2,0.5,15.5,6.6,8.3,8.0,5.6,23.7,0.055
131,Markieff Morris,LAL,31,32,106.3,17.6,25.1,0.4,12.0,14.1,7.5,4.2,5.2,20.2,0.084
132,Michael Porter Jr.,DEN,23,40,111.9,18.9,26.4,0.7,12.4,28.1,9.9,7.7,8.6,29.6,0.08
133,Precious Achiuwa,MIA,21,31,109.2,17.4,25.9,0.3,17.4,47.5,4.8,3.8,3.0,10.1,0.042
134,Richaun Holmes,SAC,27,29,114.6,19.6,29.2,0.6,15.1,48.2,9.5,8.5,7.7,32.0,0.051
135,Stanley Johnson,TOR,25,25,111.7,12.8,18.9,0.9,26.9,15.4,5.8,4.7,4.4,15.3,0.044
136,Terence Davis,SAC,24,26,110.1,12.5,18.9,0.7,22.9,10.9,5.7,5.1,4.5,16.9,0.055
137,Tyrese Maxey,PHI,20,41,108.0,9.8,14.5,0.4,15.2,11.8,5.4,4.1,4.8,14.8,0.057
138,Zion Williamson,NOP,20,29,111.7,13.1,18.5,0.9,18.4,21.5,12.3,8.4,9.5,31.9,0.089
139,Bradley Beal,WAS,28,32,114.8,9.4,13.6,1.2,19.9,11.9,13.1,10.2,8.3,35.6,0.061
140,Cameron Johnson,PHX,25,43,106.5,11.8,16.7,0.6,17.3,13.7,6.7,5.3,5.2,22.3,0.1
141,Cameron Payne,PHX,26,42,108.6,11.9,16.9,0.6,23.7,20.8,5.7,5.0,3.9,18.0,0.064
142,Chris Boucher,TOR,28,25,110.7,19.2,29.7,0.6,14.3,53.4,7.6,7.1,5.4,20.7,0.071
143,Collin Sexton,CLE,22,18,114.0,6.3,9.1,1.0,18.7,5.6,13.1,9.0,10.0,36.4,0.069
144,Dorian Finney-Smith,DAL,28,36,112.1,11.6,16.5,0.9,21.7,15.3,10.1,8.2,8.4,29.1,0.08
145,Jae Crowder,PHX,30,42,107.9,14.6,20.7,0.8,18.8,17.5,8.3,7.3,7.2,26.0,0.104
146,Jaxson Hayes,NOP,21,24,105.5,16.1,22.8,0.4,14.4,38.4,5.6,4.1,4.3,14.7,0.073
148,Lonnie Walker IV,SAS,22,28,115.7,9.3,13.4,0.5,13.7,10.9,8.3,7.4,7.0,28.5,0.036
149,Mychal Mulder,GSW,27,33,108.4,6.2,9.4,0.2,9.0,13.8,4.3,4.1,3.1,13.2,0.046
150,Brandon Clarke,MEM,24,32,109.3,16.0,23.3,1.0,21.6,32.1,7.9,6.4,6.7,23.2,0.08
151,Cedi Osman,CLE,26,17,114.2,11.3,16.9,0.9,21.1,5.6,9.7,6.6,7.3,26.6,0.048
152,Josh Okogie,MIN,22,21,114.3,7.9,11.8,0.9,23.7,20.7,7.1,5.7,5.5,21.4,0.038
153,Josh Richardson,DAL,27,35,113.7,7.9,11.4,1.0,26.0,14.3,9.6,8.1,7.4,28.8,0.061
154,Jrue Holiday,MIL,31,41,108.8,9.3,12.6,1.6,29.9,21.0,10.1,8.8,6.7,26.9,0.113
155,Xavier Tillman,MEM,22,31,106.6,16.3,24.2,0.7,17.7,31.4,5.0,5.2,4.8,16.9,0.076
156,Alex Caruso,LAL,27,32,101.7,11.4,16.3,1.1,29.9,11.3,6.8,4.7,4.4,18.8,0.118
157,Ben Simmons,PHI,24,42,106.0,16.6,23.2,1.6,24.9,15.1,11.3,7.3,10.2,31.6,0.14
158,De'Aaron Fox,SAC,23,24,118.0,8.5,12.6,1.5,29.2,13.4,11.9,10.2,8.9,39.4,0.027
159,Derrick Jones Jr.,POR,24,32,114.0,9.4,13.6,0.6,20.2,34.0,6.5,6.5,6.7,23.1,0.044
160,Dwight Powell,DAL,29,36,108.8,15.8,23.8,0.6,24.8,37.5,5.8,4.7,4.0,16.2,0.059
161,Gary Trent Jr.,TOR,22,29,115.7,6.9,10.4,1.0,20.3,5.2,8.7,9.4,8.6,32.1,0.045
162,Harrison Barnes,SAC,29,25,116.2,15.2,22.6,0.7,13.5,5.3,12.1,10.5,9.3,39.9,0.047
163,JaMychal Green,DEN,31,38,107.6,17.7,25.1,0.4,13.4,21.2,5.7,4.5,4.7,17.6,0.073
164,Jaylen Brown,BOS,24,30,111.8,13.6,19.4,1.2,22.9,14.3,11.8,9.7,8.5,31.5,0.09
165,Steven Adams,NOP,27,26,115.0,18.7,25.1,0.9,24.2,26.8,10.5,7.1,7.4,26.5,0.045
166,Timothe Luwawu-Cabarrot,BKN,26,38,112.9,9.2,13.5,0.6,21.9,6.4,6.3,5.6,4.9,18.0,0.042
167,Tomas Satoransky,CHI,29,25,110.1,8.7,12.1,0.7,21.6,11.8,7.7,5.4,4.9,23.8,0.068
168,Tyrese Haliburton,SAC,21,25,116.4,7.6,11.7,1.3,28.2,14.1,11.2,9.5,8.5,35.2,0.038
169,Wesley Matthews,LAL,34,33,105.0,6.4,9.3,0.7,22.5,13.5,6.7,4.6,4.4,18.9,0.09
170,Zach LaVine,CHI,26,26,113.1,12.1,16.9,0.8,17.0,14.1,13.4,9.0,8.6,36.9,0.078
171,D.J. Augustin,HOU,33,28,114.5,6.3,9.0,0.5,16.6,1.0,6.6,4.8,4.7,19.3,0.035
172,Damion Lee,GSW,28,28,108.2,14.2,20.8,0.7,22.5,7.9,5.8,5.2,4.1,18.1,0.069
173,Davis Bertans,WAS,28,29,110.8,9.5,13.9,0.6,15.9,9.3,8.9,7.5,4.9,24.6,0.075
174,DeAndre Jordan,BKN,32,37,114.8,23.1,32.9,0.3,11.6,55.6,7.7,6.4,6.0,21.7,0.037
175,Marcus Morris Sr.,LAC,31,38,113.1,13.3,18.4,0.6,16.4,14.2,9.3,6.6,7.0,26.6,0.058
176,Rui Hachimura,WAS,23,29,112.4,13.9,19.6,0.8,15.7,4.9,11.3,8.5,7.7,32.2,0.077
177,Seth Curry,PHI,30,39,106.5,7.4,10.5,0.8,14.1,4.1,9.8,6.7,8.5,27.6,0.118
179,Garrett Temple,CHI,35,25,109.3,8.2,11.6,0.8,19.2,21.3,9.8,6.7,6.5,27.4,0.093
180,Kendrick Nunn,MIA,25,31,111.6,9.6,13.7,0.9,18.4,10.9,10.1,7.2,6.4,25.0,0.078
181,Malcolm Brogdon,IND,28,27,111.1,11.8,17.5,0.9,15.5,6.3,10.9,9.9,9.3,37.3,0.095
182,Mason Plumlee,DET,31,14,114.0,26.4,37.6,0.8,18.9,35.5,9.2,6.7,6.9,29.2,0.052
183,Pascal Siakam,TOR,27,21,111.4,15.6,23.1,1.1,17.7,18.1,11.2,10.8,8.4,32.1,0.096
184,Paul Millsap,DEN,36,38,111.5,16.7,23.7,0.9,24.5,33.0,6.4,4.5,6.5,19.1,0.055
185,Sekou Doumbouya,DET,20,15,111.5,11.7,18.2,0.4,17.3,8.4,6.1,4.8,3.7,16.3,0.042
186,Semi Ojeleye,BOS,26,28,107.8,12.1,17.2,0.3,12.3,0.0,5.8,5.1,3.8,16.1,0.063
187,Will Barton,DEN,30,37,112.4,10.9,15.6,0.9,18.1,14.9,9.6,7.3,9.4,29.4,0.074
188,Darius Bazley,OKC,21,16,113.8,19.3,27.3,0.5,11.6,19.8,12.1,8.1,7.6,32.2,0.063
189,Devonte' Graham,CHA,26,23,107.1,7.5,11.2,0.9,18.8,4.1,9.7,7.9,6.8,28.8,0.119
190,Furkan Korkmaz,PHI,23,39,104.3,9.0,12.8,0.9,23.7,6.5,6.9,4.3,5.1,18.7,0.092
191,Jeff Teague,MIL,33,27,110.3,7.4,11.3,0.6,19.2,13.2,5.8,6.0,4.8,16.9,0.052
192,Kelly Oubre Jr.,GSW,25,27,109.8,13.5,20.0,1.0,20.2,22.8,11.6,9.5,9.1,30.1,0.099
193,Lonzo Ball,NOP,23,23,113.7,12.9,17.8,1.5,30.7,20.1,11.7,8.0,8.6,30.4,0.064
194,Rodney Hood,TOR,28,29,114.0,8.4,12.6,0.4,17.3,7.1,5.5,5.2,3.7,16.5,0.033
195,Daniel Gafford,WAS,22,31,108.4,16.0,23.8,0.5,18.8,72.8,5.3,4.6,2.7,15.5,0.053
196,Darius Garland,CLE,21,18,112.3,6.2,8.9,1.2,22.4,4.1,11.9,7.7,8.7,35.0,0.081
197,Deni Avdija,WAS,20,25,109.9,18.1,25.5,0.6,16.5,14.9,8.4,6.7,5.4,23.4,0.074
198,Drew Eubanks,SAS,24,21,108.2,20.7,30.4,0.3,17.6,53.3,4.2,3.6,3.9,15.0,0.052
199,Jerami Grant,DET,27,15,111.5,11.8,17.1,0.6,12.3,29.4,11.2,9.2,7.6,35.1,0.091
200,Kira Lewis Jr.,NOP,20,23,108.1,6.4,8.8,0.7,25.3,12.5,6.3,3.8,4.3,16.0,0.062
201,Kyrie Irving,BKN,29,36,113.8,10.1,15.0,1.4,27.4,17.5,10.8,11.5,7.8,35.0,0.07
203,Paul George,LAC,31,38,107.0,17.1,23.6,1.1,21.8,16.4,10.4,7.5,7.3,30.3,0.134
204,Tristan Thompson,BOS,30,27,110.9,21.2,29.5,0.4,12.8,26.0,7.3,5.7,6.6,22.1,0.068
205,Tyler Herro,MIA,21,29,110.6,14.4,21.3,0.6,13.6,12.2,10.7,9.0,6.4,26.9,0.09
206,Wendell Carter Jr.,ORL,22,21,113.5,21.9,31.4,0.6,17.1,37.5,9.6,6.9,7.3,24.7,0.053
207,Aron Baynes,TOR,34,20,111.0,19.2,27.8,0.3,9.9,28.9,6.1,5.1,4.9,15.8,0.053
208,Ben McLemore,LAL,28,20,109.2,9.1,13.6,0.4,14.3,8.9,6.1,4.7,4.9,16.9,0.06
209,Caleb Martin,CHA,25,23,109.5,12.5,19.6,0.7,27.8,15.2,5.3,5.0,4.2,13.6,0.051
210,Donovan Mitchell,UTA,24,39,109.2,9.5,13.5,1.0,24.0,7.3,11.8,8.4,9.0,35.4,0.112
211,Edmond Sumner,IND,25,23,112.2,8.3,13.0,0.6,20.1,8.9,5.5,5.8,4.7,19.8,0.041
212,Juan Toscano-Anderson,GSW,28,28,105.6,17.2,24.8,0.8,20.7,24.3,7.3,5.6,5.7,21.0,0.092
213,Willie Cauley-Stein,DAL,27,29,105.0,17.5,25.2,0.4,16.8,48.9,4.3,4.8,4.2,15.1,0.079
214,Cody Martin,CHA,25,26,108.1,12.6,19.2,0.7,24.2,14.5,5.5,4.4,3.9,15.8,0.061
215,De'Anthony Melton,MEM,23,27,105.4,11.8,17.1,1.2,27.5,23.8,6.3,5.5,5.3,19.2,0.091
216,Fred VanVleet,TOR,27,22,110.2,10.1,15.1,1.7,25.6,17.5,10.9,10.2,7.7,31.4,0.11
217,Hamidou Diallo,DET,22,18,110.6,16.1,23.0,0.8,23.7,18.9,9.5,7.1,4.9,24.0,0.07
218,Jimmy Butler,MIA,31,33,106.9,15.3,21.3,2.1,34.5,12.7,10.1,7.7,7.1,28.3,0.135
219,Juancho Hernangomez,MIN,25,19,115.4,17.7,25.8,0.4,13.7,6.9,5.6,5.0,4.6,18.2,0.027
220,Kawhi Leonard,LAC,30,36,109.2,16.1,22.0,1.6,30.3,12.6,10.8,7.8,8.0,33.5,0.113
221,Luguentz Dort,OKC,22,18,111.6,9.2,13.2,0.9,20.2,14.6,10.7,8.2,7.2,29.5,0.078
222,Marc Gasol,LAL,36,32,104.2,17.4,24.0,0.5,17.1,52.3,6.3,4.2,5.0,19.2,0.092
223,P.J. Tucker,MIL,36,27,114.7,11.3,16.6,0.8,18.3,14.8,8.9,7.4,8.8,26.6,0.045
224,Robert Williams III,BOS,23,29,112.0,23.2,34.2,0.8,24.6,75.8,6.7,6.2,4.5,17.2,0.048
225,Danilo Gallinari,ATL,32,29,110.3,15.5,22.4,0.6,17.4,9.8,7.3,7.0,5.2,23.6,0.072
226,DeAndre' Bembry,TOR,26,23,107.7,11.2,16.8,1.0,29.6,15.9,6.1,5.4,4.3,16.7,0.073
227,James Johnson,NOP,34,21,111.4,13.1,18.9,0.8,25.5,36.2,7.3,5.4,5.8,20.5,0.056
228,Joel Embiid,PHI,27,39,105.8,25.4,36.0,1.0,16.3,37.1,10.5,7.5,9.0,29.1,0.135
229,Jordan McLaughlin,MIN,25,15,108.8,9.0,13.2,1.0,29.3,4.8,6.3,5.9,4.7,17.2,0.064
230,Jordan Poole,GSW,22,28,106.9,7.4,10.8,0.5,15.8,9.8,6.9,5.8,4.8,20.7,0.076
231,LaMelo Ball,CHA,19,23,111.8,16.1,23.8,1.6,30.9,12.2,11.4,7.9,9.3,30.2,0.077
232,Lauri Markkanen,CHI,24,20,109.9,17.3,24.1,0.5,14.9,14.7,10.0,6.2,6.7,27.1,0.081
233,Mike Conley,UTA,33,37,99.5,8.2,11.6,1.4,34.7,5.2,9.1,7.1,7.4,26.9,0.184
234,Mike Scott,PHI,32,35,105.9,12.9,18.1,0.5,15.2,12.8,6.2,3.7,5.2,16.4,0.073
235,R.J. Hampton,ORL,20,20,116.7,16.2,24.8,0.4,15.6,9.9,6.1,5.0,5.7,18.4,0.02
236,Sterling Brown,HOU,26,14,110.8,14.7,21.9,0.7,18.5,8.4,9.3,6.5,7.5,24.1,0.069
237,Aaron Gordon,DEN,25,29,110.4,15.0,20.7,0.7,15.2,28.6,9.3,6.8,7.5,26.9,0.084
238,Dario Saric,PHX,27,37,104.4,16.8,23.1,0.6,23.1,6.2,4.9,3.8,3.6,17.0,0.085
239,Derrick Rose,NYK,32,28,105.0,8.1,12.0,1.0,25.7,13.4,8.0,7.5,4.9,23.2,0.119
240,Gabe Vincent,MIA,25,27,110.3,6.8,10.6,0.4,22.3,3.3,4.6,3.8,2.8,9.6,0.04
241,Goran Dragic,MIA,35,30,108.6,10.7,15.6,0.7,15.0,7.8,9.0,7.1,5.5,24.3,0.095
242,Grayson Allen,MEM,25,26,111.0,10.6,14.9,0.9,20.5,7.9,8.7,7.1,7.4,25.2,0.072
243,Karl-Anthony Towns,MIN,25,19,114.7,23.7,34.3,0.8,13.2,33.5,11.9,10.3,10.3,34.8,0.058
244,Maxi Kleber,DAL,29,31,108.9,15.1,21.3,0.5,14.5,27.6,8.0,7.0,7.2,25.6,0.093
245,Onyeka Okongwu,ATL,20,31,112.6,17.2,25.6,0.5,23.2,68.8,4.3,3.2,3.3,11.8,0.029
246,P.J. Dozier,DEN,24,36,102.5,13.3,18.1,0.6,16.5,19.6,6.6,4.1,4.9,18.8,0.117
247,Torrey Craig,PHX,30,33,114.7,18.5,26.7,0.6,23.5,37.5,4.9,3.9,3.4,16.0,0.029
248,Yuta Watanabe,TOR,26,24,107.8,17.1,25.1,0.5,18.4,21.8,5.1,3.9,3.7,13.0,0.055
249,Alec Burks,NYK,29,27,104.6,15.6,22.4,0.6,17.1,10.9,7.7,6.3,4.7,22.0,0.12
250,Cody Zeller,CHA,28,21,110.3,21.0,30.1,0.6,16.7,27.0,8.1,5.4,5.2,20.4,0.065
251,Jamal Murray,DEN,24,31,110.6,9.5,13.8,1.3,22.3,9.0,11.2,7.7,9.4,32.5,0.104
252,Marcus Smart,BOS,27,24,111.3,8.4,12.0,1.5,27.0,13.7,11.5,8.7,9.4,30.5,0.091
253,Nassir Little,POR,21,27,118.4,14.4,21.7,0.1,7.0,18.8,3.9,4.9,4.2,12.9,0.009
254,Saben Lee,DET,22,14,111.7,9.9,14.5,0.7,27.4,16.5,5.6,4.8,4.4,17.1,0.043
255,Brandon Goodwin,ATL,25,25,109.1,9.7,13.8,0.4,18.5,0.0,4.6,3.1,3.3,12.2,0.045
256,CJ McCollum,POR,29,28,112.8,9.9,13.9,0.9,17.5,12.7,9.1,8.9,9.3,33.0,0.078
257,Caris LeVert,IND,26,24,112.1,11.1,17.3,1.4,26.0,16.1,11.0,10.6,9.6,38.2,0.08
258,Cole Anthony,ORL,21,13,116.3,14.2,20.3,0.6,17.3,15.8,9.8,7.3,8.9,27.9,0.035
259,Frank Kaminsky,PHX,28,33,108.9,20.8,28.5,0.3,15.7,28.8,4.5,3.9,4.1,15.3,0.053
260,Jalen McDaniels,CHA,23,18,113.9,13.8,20.8,0.6,19.9,20.9,6.1,5.6,5.1,18.0,0.037
261,Josh Hart,NOP,26,21,112.1,23.4,32.2,0.8,18.2,11.1,11.6,6.9,7.3,26.5,0.072
262,Malachi Flynn,TOR,23,21,109.4,11.4,16.0,0.8,21.2,6.5,6.6,5.0,5.0,17.5,0.065
263,Monte Morris,DEN,26,30,109.5,7.1,10.2,0.7,18.3,12.1,8.3,6.1,6.5,24.5,0.083
264,Myles Turner,IND,25,22,107.9,15.9,23.3,0.9,16.7,74.6,10.0,8.8,7.4,31.4,0.113
265,Tony Snell,ATL,29,29,111.6,9.0,12.9,0.3,8.8,11.1,7.0,6.2,4.9,20.9,0.055
266,Willy Hernangomez,NOP,27,20,113.6,24.7,35.2,0.5,17.6,29.9,6.9,3.9,4.9,19.0,0.038
267,Aaron Nesmith,BOS,21,22,109.1,14.6,20.8,0.3,16.5,10.5,5.5,3.6,3.4,13.5,0.05
268,Andre Drummond,LAL,27,19,111.4,33.6,47.2,1.4,28.8,45.4,10.0,5.5,7.3,27.1,0.072
269,Blake Griffin,BKN,32,24,111.0,15.9,23.1,0.7,19.2,11.8,7.7,7.7,6.3,24.3,0.071
270,Damyean Dotson,CLE,27,14,109.4,9.5,13.9,0.3,11.7,3.6,7.5,5.1,4.9,20.7,0.065
271,Isaiah Hartenstein,CLE,23,20,105.7,20.7,30.4,0.4,19.8,60.0,4.0,3.4,2.8,10.1,0.055
272,JaVale McGee,DEN,33,21,106.9,23.1,34.5,0.4,17.1,56.8,5.6,3.7,3.8,13.1,0.06
273,Kyle Lowry,TOR,35,15,113.0,13.3,20.0,1.0,16.7,8.7,12.2,11.1,8.6,30.7,0.079
274,Mo Bamba,ORL,23,11,115.2,24.0,35.1,0.3,17.3,66.7,4.6,4.3,5.7,15.6,0.025
275,Nickeil Alexander-Walker,NOP,22,20,111.5,12.7,18.2,1.0,28.1,22.9,8.2,5.2,5.0,20.2,0.058
276,Terrence Ross,ORL,30,16,112.0,10.4,14.7,1.0,22.6,17.1,9.9,7.0,8.3,27.2,0.075
277,Wayne Ellington,DET,33,13,114.2,7.3,10.9,0.4,12.9,7.8,7.0,7.0,5.1,24.0,0.041
278,Aleksej Pokusevski,OKC,19,13,114.9,15.5,21.9,0.4,14.7,32.3,11.5,6.8,6.0,26.2,0.042
279,Chuma Okeke,ORL,22,15,109.8,11.7,16.7,1.1,28.7,19.1,7.3,6.2,6.3,24.1,0.081
280,Goga Bitadze,IND,21,19,109.3,14.8,23.1,0.2,10.0,60.0,4.2,4.4,4.3,13.8,0.043
281,Jake Layman,MIN,27,12,107.3,8.3,12.2,0.6,22.0,23.5,4.9,3.8,3.3,13.6,0.055
282,Kenyon Martin Jr.,HOU,20,10,117.0,15.9,23.0,0.7,19.2,36.3,9.2,6.7,6.0,25.9,0.026
283,LeBron James,LAL,36,30,103.2,20.2,28.6,1.1,20.9,13.4,10.8,8.0,8.8,32.2,0.172
285,Moritz Wagner,ORL,24,19,112.8,14.9,22.5,0.6,22.0,32.7,6.2,5.2,4.8,17.4,0.039
286,Nicolo Melli,DAL,30,26,105.2,16.6,23.3,0.3,16.9,7.9,3.6,3.0,2.5,11.0,0.056
287,Rajon Rondo,LAC,35,28,106.8,11.3,17.5,0.8,28.0,6.9,5.9,4.9,3.1,16.0,0.07
288,Taj Gibson,NYK,36,29,103.1,15.1,21.4,0.7,23.3,57.0,5.5,5.4,3.4,17.8,0.108
290,Bogdan Bogdanovic,ATL,28,30,111.0,10.4,14.6,1.1,26.8,11.8,10.1,8.2,7.0,30.3,0.084
291,Gordon Hayward,CHA,31,24,110.3,14.3,20.7,1.2,21.7,9.9,12.1,9.3,9.8,34.4,0.104
292,Ish Smith,WAS,32,23,108.7,13.1,19.4,0.7,22.5,15.7,7.0,6.1,3.9,21.0,0.073
293,JJ Redick,DAL,37,22,110.6,8.2,11.7,0.3,9.4,5.4,5.8,4.2,4.5,16.3,0.05
294,James Harden,BKN,31,31,114.3,19.1,27.5,1.2,24.9,19.9,12.8,10.8,10.6,36.9,0.067
296,John Konchar,MEM,25,23,108.6,16.1,23.3,0.7,26.3,13.4,4.4,3.2,4.1,13.3,0.047
297,Kemba Walker,OKC,31,22,111.4,11.3,16.5,1.1,24.0,9.0,10.0,9.0,7.8,27.9,0.084
298,Kristaps Porzingis,DAL,25,26,115.3,21.9,31.5,0.5,13.9,46.8,9.1,8.5,9.1,29.3,0.048
299,Marvin Bagley III,SAC,22,20,116.5,18.8,27.9,0.5,13.0,20.8,8.8,7.4,6.7,28.4,0.032
300,Moses Brown,BOS,21,8,116.4,23.8,33.2,0.7,26.1,46.5,10.4,5.7,6.8,22.7,0.028
301,OG Anunoby,TOR,23,18,109.1,12.5,18.8,1.5,26.9,18.6,10.3,9.9,7.3,29.1,0.112
302,D'Angelo Russell,MIN,25,16,116.8,7.7,11.8,1.1,23.1,13.2,11.0,8.9,8.0,30.3,0.033
