,Player,TEAM,AGE,W,DEF RTG,DREB%,%DREB,STL,STL%,%BLK,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT,DEFWS
376,Tyler Cook,DET,23,11,110.8,14.9,21.8,0.3,14.5,5.9,5.6,3.9,3.6,15.9,0.039
378,DaQuan Jeffries,SAS,23,6,113.4,10.3,14.9,0.5,21.7,22.7,5.9,3.8,3.8,15.9,0.035
379,Dylan Windler,CLE,24,11,111.1,17.1,25.1,0.6,22.6,17.6,6.7,4.5,4.3,17.3,0.048
382,Michael Carter-Williams,ORL,29,12,105.6,12.3,16.5,0.8,18.4,24.3,6.5,6.0,6.4,22.6,0.116
383,Mitchell Robinson,NYK,23,15,106.5,15.5,21.3,1.1,30.4,64.3,9.8,5.6,6.5,23.9,0.114
386,David Nwaba,HOU,28,8,108.0,10.8,16.4,1.0,26.3,24.1,7.3,6.4,6.3,22.3,0.084
387,George Hill,PHI,35,16,110.2,6.3,9.6,0.8,22.3,6.7,6.9,6.7,4.8,20.3,0.067
390,Nico Mannion,GSW,20,17,111.9,10.7,16.3,0.5,24.6,2.9,5.3,4.4,3.5,14.7,0.031
393,Trevor Ariza,MIA,36,17,111.0,15.0,21.2,1.0,18.5,25.7,7.8,6.8,6.6,25.3,0.08
396,Al Horford,BOS,35,11,109.1,19.5,26.9,0.9,21.2,36.1,9.0,6.8,6.9,26.9,0.095
398,Otto Porter Jr.,ORL,28,12,109.6,19.8,28.4,0.6,18.0,9.3,8.9,4.5,5.3,20.1,0.072
399,Avery Bradley,HOU,30,6,115.5,7.8,11.8,0.8,22.6,6.1,10.1,6.7,6.3,22.6,0.034
400,E'Twaun Moore,PHX,32,20,107.9,8.0,11.2,0.6,25.0,13.9,4.1,2.9,4.7,14.6,0.055
401,Eric Gordon,HOU,32,10,110.1,6.2,9.2,0.5,11.4,14.4,10.4,6.9,9.2,30.1,0.091
402,Jahlil Okafor,DET,25,5,108.7,11.9,16.7,0.2,13.0,16.1,5.4,4.2,3.8,14.4,0.046
406,Cam Reddish,ATL,21,10,114.9,10.9,15.4,1.3,30.3,11.5,10.1,8.1,7.8,31.5,0.05
407,Justise Winslow,MEM,25,13,107.1,18.7,26.2,0.6,16.0,30.0,7.3,3.8,5.6,17.3,0.08
408,Kevin Porter Jr.,HOU,21,4,119.9,9.8,14.2,0.7,14.2,11.1,13.0,8.3,10.3,33.8,0.007
409,Killian Hayes,DET,19,6,110.7,9.2,13.1,1.0,27.0,13.5,10.6,6.7,6.7,27.0,0.076
410,LaMarcus Aldridge,BKN,35,15,113.4,14.8,21.0,0.4,12.5,45.3,7.4,7.2,6.6,28.2,0.054
414,Chandler Hutchison,WAS,25,11,112.0,19.5,28.9,0.5,24.0,13.5,5.5,4.2,2.8,15.0,0.036
415,Kevin Love,CLE,32,7,113.4,27.2,38.1,0.6,19.8,4.4,8.0,6.2,7.0,27.5,0.054
416,Abdel Nader,PHX,27,16,101.7,15.1,20.6,0.4,17.9,30.0,5.5,3.1,4.0,14.8,0.086
417,Anthony Lamb,HOU,23,3,114.3,10.9,14.9,0.3,9.7,11.1,5.5,3.5,3.8,20.8,0.033
419,Al-Farouq Aminu,CHI,30,5,109.0,20.0,26.3,0.8,32.8,26.5,5.2,3.9,5.0,15.7,0.063
