,Player,Team,FG%,3PM,3P%,FTM,FT%,STL,PF,TD3,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,TO Ratio,USG%,PACE,PIE,POSS,DEF RTG,%DREB,STL%,%BLK,OPPPTSOFFTOV,OPPPTSPAINT,DEFWS,%FGA2PT,%PTS2PT MR,%PTSFBPs,%PTSFT,%PTSOffTO,3FGM%AST,3FGM%UAST,FGM%AST,FGM%UAST,C&SFGM,C&SFG%,C&S3P%,DFGA,DFG%,ContestedDREB%,DeferredDREB Chances,AdjustedDREB Chance%,AVG DREBDistance,DriveFGM,DriveFG%,DriveFTM,DriveFT%,DrivePTS%,DrivePASS,DrivePASS%,DriveAST,DriveAST%,DriveTOV%,DrivePF%,ContestedOREB%,DeferredOREB Chances,AdjustedOREB Chance%,AVG OREBDistance,PaintTouches,PaintTouch FGM,PaintTouch FTM,PaintTouch FT%,PaintTouch PTS%,PaintTouch PASS%,PaintTouch AST,PaintTouch AST%,PaintTouch TOV%,PaintTouch PF%,PassesMade,SecondaryAST,ASTToPass%,Pull UpFGM,Pull Up3PM,Pull Up3P%,AvgSpeedOff,AvgSpeedDef,Front CTTouches,AvgDribPerTouch,PTSPerTouch,PTSPerElbow Touch,PTSPerPost Touch,PostTouchFGM,PostTouchFTM,PostTouchFT%,PostTouchPASS%,PostTouchAST,PostTouchAST%,PostTouchTO,PostTouchTOV%,PostTouchPF%
257,Jaxson Hayes,NOP,62.5,0.1,42.9,1.6,77.5,0.4,1.7,0,-0.9,5.7,0.9,8.6,8.7,16.1,9.6,15.6,103.55,12.3,2078.0,105.5,22.8,14.4,38.4,5.6,14.7,0.073,95.0,3.1,15.6,20.7,18.0,100.0,0.0,77.1,22.9,0.2,39.3,45.5,2.5,57.2,37.6,0.5,66.8,6.2,0.1,50.0,0.1,75.0,95.5,0.0,4.5,0.0,0.0,13.6,18.2,62.0,0.1,55.4,5.6,4.7,1.9,0.6,76.0,99.6,19.0,0.1,2.2,3.9,8.6,14.4,0.1,4.1,0.1,0.0,33.3,4.43,3.92,13.4,0.55,0.362,0.551,0.286,0.0,0.0,0.0,42.9,0.0,0.0,0.0,0.0,0.0
258,DeAndre Jordan,BKN,76.3,0.0,0.0,0.8,50.0,0.3,2.0,0,-1.9,9.9,1.09,19.9,9.7,23.1,18.2,12.8,101.05,11.2,2626.0,114.8,32.9,11.6,55.6,7.7,21.7,0.037,99.6,0.0,6.6,10.8,12.0,0.0,0.0,80.0,20.0,0.0,0.0,0.0,3.1,61.0,28.1,0.5,71.9,4.5,0.0,50.0,0.0,50.0,75.0,0.0,0.0,0.0,0.0,25.0,25.0,63.2,0.2,49.6,5.6,5.8,2.8,0.5,56.6,105.7,20.8,0.1,1.5,6.9,6.9,23.9,0.2,6.8,0.0,0.0,0.0,4.01,3.37,16.9,0.18,0.245,0.33,0.333,0.0,0.1,75.0,73.3,0.1,20.0,0.0,0.0,13.3
259,JJ Redick,DAL,39.7,1.5,37.1,1.1,94.2,0.3,1.1,0,-1.3,9.8,1.42,13.7,0.6,8.2,9.7,18.4,102.32,6.7,1552.0,110.6,11.7,9.4,5.4,5.8,16.3,0.05,33.3,20.2,14.4,14.9,19.6,93.9,6.1,87.7,12.3,1.2,39.1,37.6,0.8,88.6,10.0,0.2,66.7,10.4,0.2,53.3,0.0,0.0,41.0,0.5,51.3,0.1,10.3,5.1,0.0,0.0,0.0,40.0,16.5,0.1,0.0,0.0,0.0,0.0,60.0,0.0,0.0,40.0,0.0,12.9,0.2,9.0,1.1,0.5,36.1,4.97,4.0,16.5,1.09,0.357,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,Jalen Harris,TOR,50.0,1.3,47.2,0.5,77.8,0.6,1.2,0,0.3,15.3,1.21,15.9,1.7,9.1,13.1,21.9,102.91,9.7,368.0,107.8,12.7,20.5,0.0,3.9,11.5,0.051,50.0,8.3,6.3,7.3,16.7,88.2,11.8,55.6,44.4,1.2,50.0,51.7,1.0,92.3,6.7,0.2,78.9,9.5,0.9,60.0,0.4,83.3,54.5,1.7,40.0,0.3,7.3,12.7,5.5,100.0,0.0,42.9,11.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,10.4,0.0,12.6,0.5,0.2,28.6,5.07,3.92,11.2,2.97,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,Jalen McDaniels,CHA,46.8,0.7,33.3,1.0,70.3,0.6,2.0,0,-9.4,9.0,1.18,13.0,4.7,13.8,11.0,16.9,98.54,7.3,1852.0,113.9,20.8,19.9,20.9,6.1,18.0,0.037,63.0,2.3,9.8,13.1,16.8,100.0,0.0,72.9,27.1,0.8,35.3,35.0,2.8,66.7,29.0,0.5,62.9,5.9,0.8,43.4,0.4,62.1,48.9,1.5,36.3,0.3,7.9,9.5,7.9,48.9,0.1,40.9,8.2,2.0,0.9,0.2,66.7,100.0,19.1,0.1,4.3,3.2,6.4,22.0,0.2,5.1,0.2,0.0,0.0,4.99,4.02,16.4,1.11,0.243,1.059,0.571,0.0,0.0,100.0,42.9,0.0,0.0,0.0,28.6,14.3
262,JaVale McGee,DEN,51.1,0.1,20.8,1.0,65.7,0.4,2.6,0,-6.1,9.8,0.65,9.5,10.5,23.1,14.6,22.8,99.87,11.5,1410.0,106.9,34.5,17.1,56.8,5.6,13.1,0.06,91.5,4.7,3.6,13.0,13.6,100.0,0.0,60.4,39.6,0.2,30.3,27.8,3.4,47.7,26.5,0.5,70.4,4.3,0.4,47.5,0.1,100.0,75.4,0.2,14.0,0.0,0.0,10.5,3.5,68.8,0.0,50.3,4.9,4.7,1.8,0.4,66.7,86.1,22.2,0.1,2.3,4.2,7.4,19.3,0.1,4.4,0.2,0.0,0.0,4.22,3.78,15.7,0.62,0.264,0.492,0.341,0.3,0.2,58.3,27.5,0.1,6.6,0.2,12.1,6.6
263,James Johnson,NOP,44.6,0.6,25.8,0.9,59.2,0.8,2.4,0,-5.0,13.4,1.78,19.1,2.9,13.1,10.7,16.6,102.54,7.1,2220.0,111.4,18.9,25.5,36.2,7.3,20.5,0.056,63.3,3.3,11.1,12.2,12.0,93.5,6.5,63.7,36.3,0.6,28.2,28.0,2.1,67.0,23.4,0.4,70.4,7.3,1.1,51.8,0.4,67.9,62.7,1.4,33.2,0.4,8.6,5.5,6.4,46.9,0.1,41.0,8.4,1.2,0.5,0.1,75.0,96.8,19.4,0.0,3.2,3.2,6.5,18.8,0.1,10.2,0.2,0.1,15.8,4.52,3.81,16.2,1.88,0.264,0.66,0.5,0.0,0.0,50.0,50.0,0.0,0.0,0.0,16.7,16.7
264,Juancho Hernangomez,MIN,43.5,1.1,32.7,1.2,61.9,0.4,1.0,0,-4.9,5.5,1.3,8.7,4.7,17.7,6.7,16.7,102.74,8.5,1937.0,115.4,25.8,13.7,6.9,5.6,18.2,0.027,43.8,0.0,8.3,16.0,15.7,98.2,1.8,84.6,15.4,1.0,33.8,34.0,2.2,73.3,25.6,0.3,68.4,5.1,0.3,47.2,0.4,76.7,74.4,0.3,21.8,0.1,7.7,12.8,19.2,71.1,0.2,42.1,5.7,2.0,0.8,0.3,54.2,90.3,19.4,0.0,1.0,1.9,11.7,18.1,0.1,3.7,0.0,0.0,0.0,4.83,4.09,14.1,0.53,0.279,0.966,0.875,0.1,0.0,50.0,25.0,0.0,12.5,0.0,0.0,12.5
265,Justin Jackson,MIL,40.3,1.1,30.8,0.9,83.8,0.4,0.9,0,-3.0,13.6,1.63,16.1,2.6,10.0,9.9,19.5,103.26,7.7,1239.0,106.8,13.9,17.4,3.9,6.6,18.1,0.069,47.1,6.5,7.8,12.6,15.5,80.6,19.4,75.3,24.7,0.9,31.9,30.3,1.5,70.0,14.8,0.1,67.0,9.0,0.7,42.9,0.6,91.3,52.7,1.5,38.8,0.4,10.1,9.3,8.5,31.3,0.1,59.3,11.8,0.7,0.4,0.1,100.0,116.7,16.7,0.0,0.0,4.2,8.3,18.6,0.2,8.2,0.7,0.3,36.0,4.55,3.89,16.6,1.95,0.266,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,Aaron Holiday,IND,39.0,1.0,36.8,1.0,81.9,0.7,1.4,0,-0.2,13.9,1.86,18.5,1.2,6.0,9.9,18.9,104.34,5.7,2560.0,110.3,9.3,21.1,7.9,5.9,19.4,0.055,58.3,7.6,18.5,14.3,16.0,92.5,7.5,64.1,35.9,0.8,38.7,39.3,1.3,60.2,5.4,0.2,69.8,9.2,0.9,35.9,0.4,81.3,38.1,2.4,41.8,0.6,10.2,7.6,4.2,33.3,0.0,31.3,14.3,0.3,0.1,0.0,75.0,59.1,22.7,0.0,4.5,18.2,9.1,15.5,0.3,12.1,0.6,0.2,30.4,4.7,3.98,15.5,2.61,0.293,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,Khem Birch,TOR,49.7,0.2,25.0,1.4,70.5,0.7,1.7,0,-3.6,8.5,2.02,15.6,10.1,13.8,7.7,13.3,99.71,8.9,3171.0,109.7,19.4,20.3,34.7,7.2,21.7,0.073,86.3,7.5,7.9,18.9,19.3,100.0,0.0,77.8,22.2,0.5,33.7,26.0,4.2,61.3,33.8,0.8,64.2,5.5,0.1,41.2,0.2,81.3,63.6,0.2,34.1,0.1,11.4,9.1,18.2,64.4,0.2,53.5,6.0,5.4,1.5,0.4,67.4,65.4,37.6,0.4,7.7,3.3,6.3,24.0,0.1,5.5,0.1,0.0,0.0,4.53,4.08,18.4,0.63,0.228,0.557,0.48,0.1,0.1,60.0,44.0,0.1,8.0,0.0,6.0,10.0
268,Kent Bazemore,GSW,44.9,1.1,40.8,0.8,69.2,1.0,2.4,0,5.9,10.8,1.32,17.5,1.9,14.0,13.3,15.9,103.77,7.5,2881.0,104.6,20.8,28.9,26.2,6.8,18.6,0.094,53.1,5.0,19.5,11.2,14.8,90.7,9.3,74.4,25.6,1.0,41.8,42.2,2.2,59.3,13.8,0.5,66.1,6.2,0.4,45.0,0.2,65.0,39.9,1.1,40.4,0.2,6.7,8.4,5.6,46.2,0.0,38.8,8.6,1.2,0.4,0.1,71.4,76.8,23.2,0.1,8.5,14.6,7.3,23.2,0.3,6.9,0.3,0.1,31.8,4.65,4.12,18.2,1.6,0.226,0.826,0.231,0.0,0.0,50.0,57.7,0.1,19.2,0.0,7.7,7.7
269,Tony Bradley,OKC,66.5,0.0,0.0,0.9,69.1,0.4,1.5,0,-1.8,7.7,1.12,12.6,12.1,22.4,11.3,15.4,102.32,13.2,1463.0,110.5,31.7,12.3,41.1,6.3,15.3,0.048,98.5,3.3,7.0,12.7,13.7,0.0,0.0,68.7,31.3,0.1,29.4,0.0,3.4,54.2,39.6,0.4,73.7,5.5,0.1,42.9,0.0,50.0,70.0,0.0,0.0,0.0,0.0,20.0,10.0,72.9,0.1,54.1,4.1,5.5,2.5,0.6,65.0,104.3,19.0,0.1,1.7,6.0,8.6,18.4,0.1,4.8,0.0,0.0,0.0,4.45,3.89,14.1,0.54,0.287,0.597,0.923,0.2,0.1,100.0,19.2,0.0,3.8,0.0,3.8,11.5
