,Player,Team,FG%,3PM,3P%,FTM,FT%,STL,PF,TD3,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,TO Ratio,USG%,PACE,PIE,POSS,DEF RTG,%DREB,STL%,%BLK,OPPPTSOFFTOV,OPPPTSPAINT,DEFWS,%FGA2PT,%PTS2PT MR,%PTSFBPs,%PTSFT,%PTSOffTO,3FGM%AST,3FGM%UAST,FGM%AST,FGM%UAST,C&SFGM,C&SFG%,C&S3P%,DFGA,DFG%,ContestedDREB%,DeferredDREB Chances,AdjustedDREB Chance%,AVG DREBDistance,DriveFGM,DriveFG%,DriveFTM,DriveFT%,DrivePTS%,DrivePASS,DrivePASS%,DriveAST,DriveAST%,DriveTOV%,DrivePF%,ContestedOREB%,DeferredOREB Chances,AdjustedOREB Chance%,AVG OREBDistance,PaintTouches,PaintTouch FGM,PaintTouch FTM,PaintTouch FT%,PaintTouch PTS%,PaintTouch PASS%,PaintTouch AST,PaintTouch AST%,PaintTouch TOV%,PaintTouch PF%,PassesMade,SecondaryAST,ASTToPass%,Pull UpFGM,Pull Up3PM,Pull Up3P%,AvgSpeedOff,AvgSpeedDef,Front CTTouches,AvgDribPerTouch,PTSPerTouch,PTSPerElbow Touch,PTSPerPost Touch,PostTouchFGM,PostTouchFTM,PostTouchFT%,PostTouchPASS%,PostTouchAST,PostTouchAST%,PostTouchTO,PostTouchTOV%,PostTouchPF%
270,Dewayne Dedmon,MIA,70.8,0.1,20.0,1.3,74.1,0.6,2.3,0,17.1,8.3,0.92,11.9,13.7,28.2,12.9,18.3,98.18,14.9,428.0,104.2,38.2,28.1,37.5,3.7,11.0,0.064,92.3,1.8,1.8,17.7,11.5,100.0,0.0,69.6,30.4,0.2,33.3,20.0,2.4,57.9,34.5,0.5,72.5,4.8,0.1,100.0,0.0,0.0,100.0,0.1,50.0,0.0,0.0,0.0,0.0,67.9,0.0,52.8,4.9,4.8,2.1,0.8,85.7,107.8,16.9,0.1,2.6,6.5,9.1,14.3,0.0,5.2,0.0,0.0,0.0,4.31,3.96,10.8,0.35,0.355,0.905,0.545,0.1,0.1,100.0,36.4,0.1,9.1,0.1,9.1,9.1
271,Maxi Kleber,DAL,42.2,1.7,41.0,0.7,91.9,0.5,2.1,0,4.6,6.6,2.27,17.4,3.5,15.1,7.7,10.3,100.1,7.3,2799.0,108.9,21.3,14.5,27.6,8.0,25.6,0.093,22.9,4.5,4.0,9.7,15.9,100.0,0.0,94.8,5.2,1.8,41.8,42.1,3.6,66.5,27.2,0.6,66.8,5.4,0.1,28.6,0.0,100.0,29.4,0.2,35.3,0.1,14.7,20.6,2.9,42.6,0.1,45.2,10.6,1.3,0.3,0.2,100.0,56.9,49.2,0.1,6.2,3.1,6.2,24.3,0.1,5.6,0.1,0.0,11.1,4.17,3.74,17.5,0.33,0.228,0.333,0.875,0.0,0.0,100.0,50.0,0.0,0.0,0.0,0.0,12.5
272,Draymond Green,GSW,44.7,0.5,27.0,1.1,79.5,1.7,3.1,6,5.4,34.5,2.97,48.0,2.8,18.4,16.2,12.8,104.21,10.7,4305.0,109.3,26.8,31.1,26.0,11.6,29.8,0.105,66.8,3.6,12.8,15.7,16.7,97.1,2.9,68.8,31.2,0.7,31.5,28.9,3.8,47.3,28.2,1.1,66.8,5.7,0.7,56.0,0.3,91.7,50.0,1.8,47.0,0.5,13.6,10.6,5.1,69.1,0.1,44.4,7.0,1.8,0.4,0.1,50.0,45.2,40.9,0.2,9.6,7.0,4.3,63.2,0.7,14.0,0.1,0.0,0.0,4.19,3.39,37.2,1.64,0.095,0.333,0.091,0.1,0.0,0.0,83.8,0.6,26.0,0.1,4.5,0.0
273,Terance Mann,LAC,50.9,0.6,41.8,1.2,83.0,0.4,1.9,0,2.7,11.4,2.6,19.4,4.4,14.0,7.5,14.4,99.93,9.1,2612.0,109.7,20.3,16.2,11.2,6.0,19.3,0.062,74.0,4.7,18.9,16.5,13.6,84.2,15.8,57.9,42.1,0.4,41.7,40.6,1.8,74.8,24.7,0.4,68.6,6.4,0.7,46.7,0.2,87.5,47.2,1.8,47.6,0.4,10.5,3.6,3.2,58.9,0.1,48.7,6.7,1.7,0.6,0.1,90.0,80.4,31.3,0.1,5.4,1.8,4.5,20.0,0.2,7.7,0.4,0.1,42.9,4.51,4.23,13.4,2.97,0.258,0.481,0.4,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0
274,Daniel Gafford,WAS,68.4,0.0,0.0,1.3,66.7,0.5,1.8,0,4.1,5.1,0.71,8.5,11.8,16.0,12.0,16.1,104.72,12.2,1717.0,108.4,23.8,18.8,72.8,5.3,15.5,0.053,100.0,0.5,7.6,18.9,14.2,0.0,0.0,71.4,28.6,0.1,50.0,0.0,4.2,52.0,47.4,0.8,58.3,4.2,0.1,75.0,0.0,0.0,75.0,0.0,12.5,0.0,0.0,37.5,0.0,74.5,0.1,48.5,4.3,4.9,2.3,0.9,69.6,115.8,11.7,0.1,1.1,6.8,11.3,15.8,0.1,3.4,0.0,0.0,0.0,4.68,4.0,10.6,0.3,0.319,0.663,0.929,0.2,0.1,83.3,32.1,0.0,0.0,0.0,7.1,10.7
275,Ignas Brazdeikis,ORL,42.2,0.8,39.3,0.8,71.4,0.3,1.7,0,-4.3,10.0,1.42,14.3,4.1,12.9,10.1,17.1,101.47,6.3,524.0,114.6,18.7,12.1,10.3,6.8,21.4,0.035,66.3,6.6,2.2,11.0,19.8,90.9,9.1,65.7,34.3,0.8,42.3,43.5,1.7,59.1,23.5,0.5,66.7,7.1,1.0,50.0,0.8,78.6,52.9,2.1,38.6,0.5,8.6,10.0,10.0,45.5,0.1,44.0,5.7,1.1,0.5,0.1,50.0,92.9,7.1,0.0,0.0,0.0,7.1,21.2,0.2,6.2,0.2,0.1,20.0,4.94,3.93,13.6,1.42,0.239,0.0,0.667,0.1,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0
276,Royce O'Neale,UTA,44.4,1.5,38.5,0.5,84.8,0.8,2.6,0,10.4,10.3,2.18,26.6,3.9,16.2,12.2,9.5,99.48,7.4,4639.0,107.3,22.4,19.5,13.3,11.3,33.4,0.123,29.4,0.4,18.1,7.9,18.5,98.1,1.9,83.4,16.6,1.4,39.0,39.3,3.2,64.5,23.7,1.0,69.5,5.2,0.3,48.9,0.1,90.0,33.9,1.2,52.1,0.4,15.2,10.9,3.0,36.4,0.1,45.1,10.2,1.1,0.4,0.0,0.0,65.4,50.6,0.1,7.4,6.2,0.0,51.7,0.4,4.9,0.1,0.1,32.0,4.69,3.92,28.9,0.66,0.117,0.231,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
277,Dwight Howard,PHI,58.7,0.1,25.0,1.8,57.6,0.4,2.9,0,-2.4,7.6,0.54,10.7,14.8,30.9,19.7,17.3,101.16,13.0,2517.0,106.3,45.0,15.8,34.3,6.6,16.6,0.073,93.4,2.9,3.3,25.1,12.7,80.0,20.0,59.6,40.4,0.1,32.1,17.6,3.2,56.7,31.3,0.7,69.8,3.9,0.1,75.0,0.1,83.3,92.3,0.1,15.4,0.0,0.0,23.1,11.5,81.6,0.1,45.6,3.6,6.0,2.2,1.1,58.5,93.0,14.5,0.1,1.2,7.3,14.5,22.9,0.1,3.9,0.0,0.0,0.0,4.21,3.71,15.4,0.58,0.23,0.259,0.568,0.1,0.1,58.3,21.6,0.0,0.0,0.1,18.9,16.2
278,Georges Niang,UTA,43.7,1.7,42.5,0.3,95.7,0.3,1.6,0,14.6,7.1,1.16,11.2,2.4,11.7,9.7,16.9,101.74,7.6,2445.0,100.3,16.2,14.1,7.0,5.2,14.5,0.097,27.9,2.0,10.8,4.4,10.4,99.2,0.8,90.4,9.6,1.7,44.2,44.4,0.9,57.4,26.4,0.3,65.8,6.8,0.5,47.9,0.2,93.8,58.5,0.7,36.6,0.2,7.7,6.3,5.6,39.3,0.0,50.0,12.0,0.3,0.1,0.0,100.0,100.0,21.7,0.0,0.0,4.3,4.3,22.0,0.1,3.7,0.2,0.1,23.1,4.84,3.9,13.8,0.67,0.241,0.412,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
279,R.J. Hampton,ORL,43.5,0.5,31.0,1.1,67.1,0.4,1.2,0,-14.2,15.5,1.64,17.8,3.0,16.2,10.8,19.1,101.94,8.5,1879.0,116.7,24.8,15.6,9.9,6.1,18.4,0.02,72.2,11.9,24.0,15.5,18.1,92.6,7.4,47.1,52.9,0.5,39.1,39.1,1.4,76.1,14.7,0.4,76.9,7.1,0.9,43.4,0.5,71.1,50.6,1.8,38.9,0.5,10.0,6.7,7.9,41.4,0.1,41.4,10.2,0.7,0.2,0.0,50.0,68.4,26.3,0.0,0.0,5.3,5.3,16.5,0.2,10.3,0.5,0.0,9.1,4.71,4.11,14.8,3.0,0.275,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,Moritz Wagner,ORL,45.4,0.7,34.1,1.6,81.6,0.6,2.4,0,-7.9,10.7,1.16,13.9,3.5,14.9,11.9,17.8,104.8,8.0,1568.0,112.8,22.5,22.0,32.7,6.2,17.4,0.039,60.3,1.3,4.5,22.9,13.9,96.8,3.2,89.4,10.6,0.7,34.8,33.7,2.9,68.2,28.6,0.5,65.7,5.0,0.3,41.7,0.2,91.7,68.9,0.3,21.3,0.0,1.6,6.6,9.8,55.6,0.0,28.7,5.2,2.4,0.8,0.4,72.7,86.0,19.6,0.1,4.7,4.7,9.3,21.0,0.1,5.3,0.0,0.0,50.0,4.79,3.83,14.7,0.51,0.248,0.739,0.5,0.1,0.2,80.0,31.3,0.0,3.1,0.2,21.9,15.6
281,Justise Winslow,MEM,35.2,0.4,18.5,0.8,57.1,0.6,1.8,0,-6.1,14.0,1.35,15.9,3.2,18.7,11.8,21.2,104.84,6.0,1103.0,107.1,26.2,16.0,30.0,7.3,17.3,0.08,74.3,10.1,26.4,11.2,19.1,100.0,0.0,58.1,41.9,0.4,18.2,19.2,2.1,63.6,23.0,0.6,78.1,5.4,0.8,34.5,0.3,75.0,36.8,2.0,39.8,0.5,9.8,10.5,4.5,50.0,0.0,45.0,12.6,1.2,0.4,0.1,50.0,80.0,30.0,0.0,0.0,6.7,6.7,22.0,0.1,8.7,0.6,0.0,0.0,4.63,4.01,15.6,2.33,0.213,0.516,0.333,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0
282,Derrick Jones Jr.,POR,48.4,0.7,31.6,1.0,64.8,0.6,2.2,0,-0.8,4.9,1.47,11.1,5.5,9.4,7.6,12.2,99.5,5.8,2713.0,114.0,13.6,20.2,34.0,6.5,23.1,0.044,55.3,0.0,14.1,14.9,21.5,97.7,2.3,76.2,23.8,0.7,31.7,32.0,2.2,63.1,33.6,0.3,67.0,7.7,0.2,44.0,0.0,50.0,52.2,0.2,23.9,0.0,4.3,17.4,4.3,59.7,0.1,52.7,6.5,2.7,1.1,0.2,63.6,88.5,25.6,0.2,6.4,3.8,7.1,12.9,0.1,6.3,0.1,0.1,27.3,4.55,4.12,11.6,0.71,0.346,0.762,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
283,Gorgui Dieng,SAS,52.1,0.8,42.9,1.5,86.6,0.7,1.5,0,-6.7,13.0,1.5,17.6,6.8,18.1,11.7,16.9,101.65,12.0,1175.0,113.2,27.3,26.0,25.4,5.9,15.0,0.032,57.1,6.2,8.5,22.5,14.3,96.7,3.3,72.9,27.1,0.9,46.5,42.9,2.8,65.7,25.0,0.3,67.6,5.1,0.2,53.8,0.2,90.0,72.7,0.2,27.3,0.1,9.1,15.2,15.2,70.0,0.0,41.7,5.6,2.9,0.8,0.5,82.6,78.9,33.9,0.1,3.7,6.4,11.0,18.8,0.0,6.7,0.3,0.1,50.0,4.32,3.85,15.7,0.75,0.27,0.415,0.417,0.1,0.1,100.0,50.0,0.0,4.2,0.0,4.2,4.2
284,Pat Connaughton,MIL,43.4,1.5,37.1,0.4,77.5,0.7,1.4,0,6.9,6.4,2.45,15.6,3.9,15.2,6.4,11.3,104.8,7.9,3431.0,107.3,21.3,18.4,17.6,7.3,19.1,0.09,29.7,0.4,11.5,6.7,10.9,97.0,3.0,89.9,10.1,1.5,38.4,38.5,2.0,61.7,20.8,0.6,67.9,5.2,0.3,54.5,0.1,50.0,35.1,0.9,56.1,0.3,16.7,7.9,3.5,54.0,0.0,48.8,8.2,1.6,0.5,0.1,66.7,73.2,33.9,0.1,6.3,9.8,4.5,23.0,0.1,5.1,0.0,0.0,9.1,4.81,3.96,14.2,0.75,0.225,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,Jaden McDaniels,MIN,44.7,1.1,36.4,0.4,60.0,0.6,2.7,0,-3.4,6.4,1.51,14.1,3.2,11.8,9.3,11.8,103.13,5.0,3250.0,113.1,17.5,11.9,33.9,8.2,23.6,0.053,46.0,4.2,9.8,6.3,18.3,97.2,2.8,82.3,17.7,1.1,37.5,36.8,3.6,55.6,33.3,0.6,62.3,5.8,0.3,44.0,0.1,80.0,46.0,0.7,41.6,0.1,8.0,5.3,4.4,71.2,0.0,41.6,8.7,1.6,0.5,0.1,62.5,70.0,32.0,0.0,2.0,10.0,4.0,26.3,0.3,4.3,0.3,0.1,31.3,4.88,4.16,15.6,0.64,0.201,0.435,0.333,0.0,0.0,0.0,50.0,0.0,0.0,0.0,33.3,0.0
286,Killian Hayes,DET,35.3,0.8,27.8,0.5,82.4,1.0,2.2,0,-10.1,29.9,1.66,32.2,0.9,9.2,19.3,18.5,100.12,5.3,1403.0,110.7,13.1,27.0,13.5,10.6,27.0,0.076,64.2,9.1,5.1,7.9,14.2,85.0,15.0,40.8,59.2,0.7,34.7,31.9,2.2,77.2,14.3,0.5,60.6,7.0,1.5,40.2,0.2,83.3,29.2,5.9,53.1,1.5,13.5,10.1,1.0,16.7,0.0,33.3,11.0,0.3,0.0,0.0,0.0,22.2,66.7,0.0,11.1,11.1,0.0,49.8,0.4,10.6,1.1,0.2,20.8,4.7,3.9,21.8,4.59,0.107,0.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,Jeff Teague,MIL,43.3,0.7,43.9,1.6,84.8,0.6,1.0,0,2.8,18.2,2.06,25.0,1.6,7.4,12.1,17.4,101.9,7.9,2017.0,110.3,11.3,19.2,13.2,5.8,16.9,0.052,71.1,3.8,11.1,24.0,12.9,63.9,36.1,30.1,69.9,0.3,42.9,42.9,1.3,66.2,16.4,0.2,75.3,8.9,1.3,45.8,1.0,83.8,56.3,2.7,40.4,0.6,9.6,6.9,9.3,6.7,0.1,46.9,18.4,0.2,0.0,0.0,0.0,15.4,53.8,0.0,7.7,0.0,0.0,24.5,0.2,9.8,0.7,0.3,45.0,4.17,3.61,12.4,4.55,0.207,0.375,0.8,0.0,0.1,100.0,40.0,0.0,0.0,0.0,0.0,40.0
288,Ish Smith,WAS,43.4,0.4,36.7,0.4,57.6,0.7,1.4,0,2.3,24.2,4.2,32.8,2.2,13.1,7.8,15.5,104.87,9.3,2020.0,108.7,19.4,22.5,15.7,7.0,21.0,0.073,83.5,25.1,10.5,6.4,11.5,94.4,5.6,35.7,64.3,0.4,43.2,41.5,1.2,68.5,16.4,0.5,65.0,8.1,1.2,46.4,0.1,50.0,31.7,4.8,60.1,1.4,17.3,4.8,1.7,18.2,0.1,55.0,11.8,0.6,0.2,0.0,0.0,57.1,46.4,0.0,7.1,7.1,0.0,36.2,0.4,10.8,1.2,0.0,12.5,4.97,3.95,16.1,3.66,0.148,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,Damyean Dotson,CLE,40.6,1.0,28.9,0.5,66.7,0.3,0.9,0,-12.5,16.1,2.17,20.6,0.5,9.5,9.5,16.2,99.68,6.9,1893.0,109.4,13.9,11.7,3.6,7.5,20.7,0.065,45.7,15.6,15.9,7.8,18.5,89.1,10.9,64.7,35.3,0.9,34.7,33.6,1.2,60.7,17.0,0.2,68.2,8.0,0.7,53.6,0.3,66.7,44.3,1.8,50.3,0.3,9.0,7.8,5.4,20.0,0.1,21.7,11.2,0.2,0.1,0.0,0.0,72.7,36.4,0.0,18.2,9.1,0.0,24.4,0.2,8.1,0.7,0.2,19.6,4.44,3.88,18.1,3.12,0.203,0.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,Dennis Smith Jr.,DET,40.0,0.8,32.8,0.8,73.1,1.0,1.6,1,-2.2,27.6,2.96,29.6,2.9,9.9,10.0,19.1,97.94,9.3,857.0,108.1,14.9,35.4,28.6,6.6,19.6,0.067,60.0,11.7,7.8,12.4,12.3,52.6,47.4,32.8,67.2,0.4,26.5,27.3,2.3,61.5,32.6,0.8,76.8,6.2,0.9,44.7,0.1,100.0,34.4,3.0,51.9,0.9,16.0,5.3,0.8,50.0,0.0,42.9,8.6,0.6,0.3,0.0,0.0,85.7,35.7,0.0,7.1,0.0,0.0,32.7,0.3,10.2,0.9,0.4,39.1,4.39,4.02,14.3,4.65,0.159,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,Markieff Morris,LAL,40.5,1.1,31.1,0.6,72.0,0.4,1.7,0,0.8,8.8,1.35,13.9,4.0,17.6,10.3,16.0,100.47,7.6,2512.0,106.3,25.1,12.0,14.1,7.5,20.2,0.084,44.7,11.8,8.4,8.9,13.0,100.0,0.0,73.9,26.1,1.1,33.7,31.9,1.9,69.6,21.1,0.6,74.1,6.6,0.3,50.0,0.1,100.0,64.9,0.3,27.0,0.1,5.4,12.2,2.7,72.9,0.0,46.2,6.5,1.5,0.4,0.2,83.3,60.0,41.1,0.1,7.8,4.4,6.7,19.0,0.2,6.3,0.4,0.0,18.8,3.93,3.71,16.8,0.57,0.249,0.383,0.527,0.4,0.0,100.0,39.6,0.1,7.7,0.1,5.5,1.1
292,Abdel Nader,PHX,49.1,0.8,41.9,1.2,75.7,0.4,1.4,0,5.0,7.8,1.0,11.2,2.0,15.1,11.2,18.3,102.96,9.2,757.0,101.7,20.6,17.9,30.0,5.5,14.8,0.086,62.9,0.0,11.9,17.4,13.1,100.0,0.0,80.7,19.3,0.8,42.9,43.9,1.4,47.1,18.2,0.4,78.6,6.3,0.8,52.6,0.3,58.3,57.8,1.1,31.3,0.3,9.6,9.6,7.2,42.9,0.0,29.2,3.7,0.7,0.3,0.2,83.3,117.6,11.8,0.0,5.9,5.9,17.6,9.4,0.0,8.4,0.1,0.0,0.0,4.75,4.1,10.9,1.19,0.411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,Trey Burke,DAL,42.8,0.9,35.4,0.8,89.5,0.6,1.0,0,1.3,12.9,2.45,16.5,1.1,4.7,6.7,19.3,99.91,7.6,1893.0,110.2,7.1,29.3,9.1,4.7,14.6,0.046,53.5,20.9,13.6,12.4,15.3,89.7,10.3,53.6,46.4,0.8,37.1,34.8,0.6,68.6,9.1,0.2,74.6,11.2,0.7,48.4,0.4,100.0,53.8,1.5,43.0,0.3,7.7,4.5,5.4,10.0,0.0,52.6,14.2,0.2,0.0,0.1,100.0,36.4,54.5,0.0,0.0,18.2,18.2,14.8,0.2,8.8,0.9,0.2,37.9,4.43,4.15,13.2,3.32,0.297,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,Nic Claxton,BKN,62.1,0.0,20.0,1.0,48.4,0.7,2.1,0,12.3,6.8,1.56,12.8,7.4,18.7,8.3,13.6,100.65,10.9,1248.0,102.1,27.3,22.8,56.3,5.2,16.4,0.101,96.6,0.0,16.5,14.6,18.9,100.0,0.0,75.6,24.4,0.0,16.7,20.0,3.1,56.0,35.8,0.5,65.8,4.3,0.2,29.4,0.1,50.0,53.6,0.1,10.7,0.0,0.0,7.1,14.3,69.8,0.0,36.1,5.1,4.8,2.2,0.4,44.4,100.0,24.3,0.2,3.9,1.3,7.9,20.2,0.1,4.3,0.0,0.0,0.0,4.49,4.01,14.3,0.52,0.247,0.534,0.533,0.1,0.1,50.0,46.7,0.0,6.7,0.0,6.7,13.3
295,Xavier Tillman,MEM,55.9,0.4,33.8,0.6,64.2,0.7,2.0,0,2.9,9.6,1.67,17.1,6.5,16.3,10.3,14.2,101.41,9.5,2276.0,106.6,24.2,17.7,31.4,5.0,16.9,0.076,78.3,3.6,13.1,8.7,20.3,100.0,0.0,85.0,15.0,0.7,41.2,34.9,3.2,59.1,39.0,0.6,64.1,5.6,0.2,52.4,0.1,75.0,71.1,0.2,31.6,0.0,5.3,7.9,5.3,51.4,0.1,46.8,7.4,3.9,1.4,0.2,55.0,75.8,32.0,0.2,4.8,5.2,4.3,23.8,0.1,5.3,0.2,0.0,0.0,4.77,4.02,16.8,0.54,0.218,0.62,0.514,0.2,0.0,50.0,40.5,0.0,2.7,0.1,13.5,2.7
296,Alex Len,WAS,61.5,0.1,32.0,1.1,62.9,0.3,2.0,0,-4.0,6.9,0.89,11.3,7.7,17.4,12.6,16.1,106.79,9.7,2173.0,111.0,24.0,14.1,60.4,6.0,15.4,0.044,91.0,0.9,7.1,17.2,14.2,100.0,0.0,76.6,23.4,0.1,25.7,33.3,3.8,52.4,34.1,0.5,64.1,5.0,0.1,70.0,0.1,57.1,100.0,0.0,11.8,0.0,5.9,0.0,17.6,70.5,0.1,44.3,4.6,5.0,2.0,0.7,63.6,94.0,20.5,0.2,3.2,6.3,10.1,15.8,0.1,4.9,0.0,0.0,0.0,4.71,3.94,12.7,0.45,0.301,0.633,0.571,0.1,0.1,75.0,37.1,0.0,2.9,0.1,14.3,11.4
297,Frank Kaminsky,PHX,47.1,0.7,36.5,0.8,61.7,0.3,1.5,0,4.6,15.4,3.59,20.5,5.1,20.8,5.7,18.5,99.62,10.6,1478.0,108.9,28.5,15.7,28.8,4.5,15.3,0.053,66.9,3.9,3.2,11.9,9.4,100.0,0.0,82.6,17.4,0.7,35.8,36.4,2.9,64.4,28.3,0.6,67.9,4.9,0.5,47.9,0.2,57.1,51.9,1.0,42.6,0.1,6.5,5.6,6.5,72.2,0.1,39.1,6.4,2.7,1.0,0.3,63.6,87.5,27.3,0.1,3.9,2.3,7.8,21.7,0.1,7.8,0.0,0.0,25.0,4.62,3.8,17.6,0.69,0.232,0.478,0.585,0.2,0.2,66.7,34.1,0.1,7.3,0.0,2.4,14.6
298,Denzel Valentine,CHI,37.3,1.3,33.1,0.3,94.1,0.5,1.1,0,1.0,14.4,2.5,18.4,2.2,16.8,7.4,19.0,100.05,8.5,2170.0,106.7,22.9,21.0,8.5,5.9,16.2,0.068,41.8,8.9,14.0,4.0,14.3,90.0,10.0,65.8,34.2,1.1,34.5,34.2,1.3,69.2,32.4,0.6,68.1,5.6,0.5,33.0,0.1,100.0,33.0,1.4,43.8,0.4,11.9,5.7,1.0,8.3,0.1,46.2,13.7,0.5,0.2,0.0,0.0,93.1,27.6,0.0,10.3,6.9,0.0,15.4,0.2,11.0,0.8,0.3,29.6,4.57,3.99,16.2,1.91,0.278,0.643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,Damion Lee,GSW,46.7,1.4,39.7,0.7,90.9,0.7,1.6,0,1.6,9.4,2.43,18.5,2.0,14.2,7.6,12.7,103.21,8.8,2322.0,108.2,20.8,22.5,7.9,5.8,18.1,0.069,29.2,3.8,10.5,10.8,16.6,96.1,3.9,92.2,7.8,1.3,40.0,40.5,1.9,65.1,25.9,0.4,72.1,6.0,0.4,59.5,0.2,100.0,55.7,0.9,50.0,0.2,12.3,8.5,5.7,40.9,0.0,45.8,12.6,0.4,0.2,0.0,0.0,126.1,21.7,0.0,4.3,0.0,0.0,23.6,0.3,5.4,0.3,0.1,36.8,5.09,4.1,17.6,0.93,0.22,0.2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
300,Nemanja Bjelica,MIA,45.4,0.7,31.8,1.0,72.5,0.4,1.8,0,-6.7,16.0,2.09,21.6,4.9,17.2,10.3,17.9,100.53,8.4,1254.0,116.5,26.2,16.5,9.6,5.8,17.8,0.02,56.6,1.7,13.2,15.3,11.2,88.9,11.1,71.9,28.1,0.6,30.7,31.0,2.8,69.2,28.6,0.4,71.5,5.7,0.5,52.6,0.3,100.0,47.8,1.4,46.9,0.4,12.4,11.5,5.3,41.4,0.0,50.9,9.1,1.3,0.6,0.1,50.0,100.0,18.8,0.1,6.3,8.3,8.3,22.7,0.1,8.2,0.1,0.1,22.2,4.47,3.86,17.4,0.85,0.219,0.769,0.629,0.2,0.1,83.3,42.9,0.1,11.4,0.0,2.9,8.6
301,Chasson Randle,ORL,38.8,1.1,33.8,0.9,79.2,0.5,1.6,0,-15.0,14.3,1.61,19.6,0.8,8.4,12.2,15.4,100.9,5.4,1759.0,112.7,12.2,20.4,5.6,6.7,19.8,0.048,45.1,5.3,13.9,14.3,13.9,68.2,31.8,46.7,53.3,0.6,35.1,35.2,1.4,70.2,14.7,0.2,67.6,9.3,0.7,46.9,0.3,72.2,41.6,2.1,48.9,0.4,8.4,7.3,5.1,57.1,0.0,36.8,17.2,0.2,0.0,0.0,0.0,50.0,37.5,0.0,0.0,12.5,0.0,31.5,0.2,5.7,0.7,0.5,32.2,4.77,3.89,11.3,5.28,0.159,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,Avery Bradley,HOU,37.4,1.2,32.7,0.4,80.0,0.8,2.0,0,-10.2,10.8,1.64,18.3,1.3,7.8,11.1,14.6,102.39,3.9,1284.0,115.5,11.8,22.6,6.1,10.1,22.6,0.034,40.9,5.8,10.4,7.0,12.7,93.9,6.1,82.8,17.2,1.0,30.2,32.5,1.7,72.3,22.4,0.4,59.0,7.0,0.2,37.5,0.1,100.0,29.2,0.8,45.8,0.2,10.4,16.7,2.1,37.5,0.1,38.1,16.8,1.1,0.4,0.1,75.0,83.3,20.0,0.0,0.0,3.3,6.7,21.2,0.3,8.0,0.4,0.2,31.6,4.44,4.11,18.0,1.97,0.216,0.286,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
303,Alex Caruso,LAL,43.6,0.9,40.1,0.8,64.5,1.1,1.9,0,5.5,19.0,2.11,27.9,2.5,11.4,13.2,14.4,100.29,8.4,2532.0,101.7,16.3,29.9,11.3,6.8,18.8,0.118,55.1,4.3,17.3,13.2,16.2,92.7,7.3,66.9,33.1,0.9,40.8,42.7,1.3,64.0,14.4,0.3,68.5,8.4,0.5,38.0,0.3,76.9,34.6,1.9,48.3,0.5,12.4,9.4,5.6,45.2,0.1,41.9,12.3,0.8,0.2,0.1,37.5,66.7,41.7,0.1,12.5,8.3,8.3,35.2,0.4,7.8,0.3,0.1,23.5,4.51,4.08,18.8,2.7,0.145,0.531,0.0,0.0,0.0,0.0,100.0,0.0,33.3,0.0,0.0,0.0
304,Timothe Luwawu-Cabarrot,BKN,36.5,1.3,31.4,0.6,81.4,0.6,1.7,0,-0.4,8.8,1.6,14.2,2.6,9.2,8.8,16.5,103.06,4.7,2247.0,112.9,13.5,21.9,6.4,6.3,18.0,0.042,32.9,3.2,14.6,9.5,18.9,98.7,1.3,86.2,13.8,1.3,32.4,32.6,1.4,73.8,27.7,0.4,59.1,6.4,0.3,36.0,0.1,70.0,36.3,1.0,46.0,0.3,13.7,6.5,4.0,42.9,0.1,49.1,13.0,0.8,0.2,0.1,75.0,61.4,31.8,0.1,6.8,2.3,4.5,18.1,0.1,6.6,0.2,0.1,16.7,4.9,4.02,14.8,0.95,0.245,0.889,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
