,Player,TEAM,AGE,GP,W,L,MIN,%FGA2PT,%FGA3PT,%PTS2PT,%PTS2PT MR,%PTS3PT,%PTSFBPs,%PTSFT,%PTSOffTO,%PTSPITP,2FGM%AST,2FGM%UAST,3FGM%AST,3FGM%UAST,FGM%AST,FGM%UAST
35,Dwight Howard,PHI,35,69,46,23,17.3,93.4,6.6,71.8,2.9,3.1,3.3,25.1,12.7,68.9,59.0,41.0,80.0,20.0,59.6,40.4
36,Jakob Poeltl,SAS,25,69,32,37,26.7,100.0,0.0,89.4,3.0,0.0,3.0,10.6,12.6,86.3,75.5,24.5,0.0,0.0,75.5,24.5
37,Joe Harris,BKN,29,69,45,24,31.0,37.2,62.8,30.0,4.9,65.0,11.5,5.0,13.4,25.1,77.4,22.6,100.0,0.0,90.8,9.2
38,Keldon Johnson,SAS,21,69,32,37,28.5,74.3,25.7,63.1,5.2,20.4,13.2,16.5,16.1,57.9,67.3,32.7,91.7,8.3,71.6,28.4
39,Kevin Huerter,ATL,22,69,40,29,30.8,47.2,52.8,42.8,10.0,51.1,16.2,6.1,15.9,32.8,40.9,59.1,87.9,12.1,61.7,38.3
40,Kyle Anderson,MEM,27,69,36,33,27.4,60.3,39.7,50.1,9.1,33.0,17.0,16.9,18.0,41.0,44.9,55.1,86.2,13.8,57.5,42.5
41,Montrezl Harrell,LAL,27,69,41,28,22.9,98.3,1.7,80.6,5.8,0.0,8.3,19.4,15.8,74.8,60.5,39.5,0.0,0.0,60.5,39.5
42,Norman Powell,POR,28,69,32,37,32.0,54.7,45.3,41.6,4.8,40.0,16.2,18.4,16.3,36.8,54.7,45.3,83.6,16.4,66.0,34.0
43,Pat Connaughton,MIL,28,69,44,25,22.8,29.7,70.3,28.6,0.4,64.7,11.5,6.7,10.9,28.2,79.1,20.9,97.0,3.0,89.9,10.1
44,T.J. McConnell,IND,29,69,33,36,26.0,90.2,9.8,86.9,16.4,7.6,10.7,5.5,16.6,70.5,36.3,63.7,80.0,20.0,38.7,61.3
